city,borough,title,foundry,fabricator,primary_architect_first,landscape_architect_last,artwork_type1,location_name,landscape_architect_middle,lot,date_created_approximation,primary_artist_first,date_dedicated,date_dedicated_approximation,secondary_artist_first,inscription,pdc_records,secondary_artist_last,material,subject_keyword,primary_architect_middle,date_created,landscape_architect_first,primary_artist_last,block,secondary_architect_last,address,secondary_architect_middle,artwork_type2,alternate_title,secondary_architect_first,latitude,state
New York,Manhattan,Susan E. Wagner,,,,,Plaque,Park Avenue Malls,,,N,,1965,N,,THIS FORTY FLOWERING CHERRY TREES / IN THE MALLS BETWEEN 75TH AND 96TH STREETS / A GIFT OF THE / ALBERT & MARY LASKER FOUNDATION / WERE PLANTED IN MEMORY OF / SUSAN E. WAGNER / BELOVED FIRST LADY OF THE CITY OF NEW YORK / NOVEMBER 1964,3297,,Bronze,"Women, Woman, First Lady",,1965,,,,,Park Ave between East 75th Street and East 76th Street,,Marker,,,40.773052,NY
New York,Manhattan,Martin Birdbath,,,,,Bird bath,Central Park,,1.0,N,Oronzio,1942,N,,EDITH DEACON MARTIN / 1898 1941 / OMNIA AD MAIROEM DE GLORIAM /,"2019, 1859",,Marble,"Abstract, Birdbath, Woman",,1942,,Maldarelli,1111,,Park Road and East 63rd Street,,Artwork,,,40.766981,NY
New York,Manhattan,Slocum Disaster Memorial,,,,,"Stele, bas-relief",Tompkins Square Park,,1.0,N,Bruno,1906,N,,"(FRONT, UPPER RIGHT): THEY WERE / EARTH'S / PUREST / CHILDREN / YOUNG AND / FAIR

(PROPER RIGHT SIDE): IN MEMORY OF / THOSE WHO LOST / THEIR LIVES / IN THE DISASTER TO / THE STEAMER / GENERAL SLOCUM / JUNE XV / MCMIV

(PROPER LEFT SIDE): DEDICATED / BY / THE SYMPATHY SOCIETY / OF GERMAN LADIES / THE YEAR OF OUR LORD / MCMVI","157, 195, 320",,Tennessee pink marble,"General Slocum disaster, Fountain, children",,1906,,Zimm,403,,East 10th Street between Avenue A and Avenue B,,Monument/Memorial,,,40.726912,NY
New York,Manhattan,Wolf and Lynxes,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Frederick,1935,N,,Signed: F.G.R. ROTH,1859,,Indiana limestone,"Animals, WPA",,1935,,Roth,1111,,Central Park Zoo,,Artwork,,,40.768280,NY
Brooklyn,Brooklyn,Genevieve Beavers Earle,"Forman Company, Brooklyn, New York",,,,"Flagstaff base, plaque",Brooklyn Heights Promenade,,25.0,N,,1956,N,,"IN MEMORY OF / GENEVIEVE BEAVERS EARLE / 1883-1956 
LONGTIME RESIDENT OF BROOKLYN HEIGHTS / CIVIC LEADER AND GOOD NEIGHBOR / MEMBER AND MINORITY LEADER OF THE CITY COUNCIL / DEVOTED TO THE WELFARE OF BROOKLYN AND / THE CITY OF NEW YORK / THIS PLAQUE IS THE GIFT OF HER MANY FRIENDS",3184,,"Bronze, Granite","Politician, public servant, City Councilmember",,1956,,,208,,Montague Street and Montague Terrace,,Monument/Memorial,,,40.695822,NY
Bronx,Bronx,Van Cortlandt Memorial Grove (39 tablets),,General Bronze Corporation,,,Tree markers,Van Cortlandt Park,,150.0,N,,1949,N,,,"1960, 1501",,"Bronze, granite","World War II, War",,1949,,,5900,,Broadway and 242nd Street,,Monument/Memorial,,,40.891360,NY
New York,Manhattan,Daniel Webster,"Von Miller's Foundry, Munich, Germany",,,,Statue,Central Park,,1.0,Y,Thomas,1876,N,,"LIBERTY AND UNION, / NOW AND FOREVER, / ONE AND INSEPARABLE. / DANIEL WEBSTER /",3911,,"Bronze, granite","Lawyer, politician, Secretary of State, Senator, Congressman",,1876,,Ball,1111,,West Drive at Terrace Drive,,Monument/Memorial,,,40.774762,NY
New York,Manhattan,Large Coqui,"Beacon Fine Art Foundry, Beacon, NY","Insun Kim, Beacon Fine Art Foundry, Beacon, NY",,,Sculpture,ABC Playground,,10.0,N,Tom,2007,N,,,1903,,Bronze,Animals,,2004,,Otterness,355,,East Houston Street and Essex Street,,Artwork,,,40.721976,NY
Bronx,Bronx,Van Nest Memorial,,,Arthur,,Stele,Van Nest Memorial Park,,100.0,N,,1926,N,,"Side 1: ERECTED BY THE / VAN NEST CITIZEN'S / PATRIOTIC LEAGUE / IN MEMORY OF / THOSE WHO SERVED / OUR COUNTRY / IN THE / WORLD WAR / 1917 --- 1918 / AND / WORLD WAR II / 1941 --- 1945 Bronze Plaque: REDEDICATION BY / ITALIAN AMERICAN WAR VETERANS / BRONX COUNTY POST 39 / OCTOBER 31, 1979 Side 2: KOREA / RALPH J. CELENTANO / ROBERT F. GORMAN Side 3: LEST WE FORGET / PAUL ARNONE / THOS. BARRY / F.M. BEGAN / VIVIEN BROWN / C. DIEDTRICH / H. ERLANDSEN / WM. GORTON / JOS. A. KALLAS / CHAS. KEEGAN / ARTHUR MCBRIDE / F. SCHLAICH / H. SCHEELER / J. SLATOBOLSKY / EUG. L. ZENGEN / JOHN N. BELMONT / DEDICATED / MCMXXVI  Side 4: VIETNAM / MICHAEL P. GALEA / PATRICK J. GALLAGHER / DANIEL MEADE / MARTIN R. POWERS / ANGELO G. RAPTIG / DENNIS J. RUSSO / VINCENT M. SORANNO / ROBERT L. TARANTO / RICHARD J. TIRIGO / JULIO C. VARGAS / RICHARD PARKER / PETER R. WIESNEIFSKI",1334,,Deer Isle granite,"World War I, World War II, Korean War, Vietnam War, War",George,1926,,,4028,,"White Plains Road, Unionport Road, and Mead Street",,Monument/Memorial,,,40.842990,NY
Brooklyn,Brooklyn,Greenpoint World War II Memorial,,,,,Stele,Macri Triangle,,31.0,N,,1954,N,,"Stele:
THAT WE BE FREE /

Tablet:
1941 1945 / THIS TABLET IS DEDICATED TO THE MEN OF THIS/ COMMUNITY WHO MADE THE SUPREME SACRIFICE IN WORLD WAR II / SSGT. ADAMS, V.J. --- PFC. D'AMATO, L.C. --- SGT. GWIAZDOWSKI, M. --- PVT. PROTO, L. / PFC. ARETINO, D.C. --- SGT. DEODATI, K. --- PFC. KAZAKEVICJ, V.L. --- PVT. RUBINETTI, J. / PVT. BIANCO, A.J. --- CPL. DESIO, J.S. --- LT. KORBELAK, S. --- PFC. RUBINETTI, J. / SFC BIELINSKI, J. --- PVT. DOMANICO, T.J. --- PFC. LA ROCCA, P.F. --- TCPL. RUSSO, J.A. / SSGT. BILASZ, S. --- PVT. FALCO, R. --- SGT. LA TORRE, G.M. --- PFC. SACCONE, A. / PFC. BOSCO, F.C. --- CPL. FALTER, F.F. --- SGT. LAWOR, G. --- PVT. SANTA MARIA, C. / PVT. BUONAGURO, J.A. --- PFC. FARANDA, F.F. --- PVT. LEONARD, E.A. --- PVT. SCHETTINO, V. / PFC. BUSRUS, A. --- 1ST LT. FEDERICO, D.J. --- PFC. LIGUORI, D.A. --- PVT. SCHMIEDER, A.J. / PVT. CALIENDO, P. --- PFC. FERONE, J.P. --- SFC. LOMBARDI, V.J. --- PFC. SCUDIERE, V. / PFC. CANDELA, S. --- CPL. FILL, J. --- PFC. LOMUTO, F.S. --- PFC. SEVERINO, C. / PFC. CARBONE, R. --- PVT. FORGIONE, V. --- PVT. MADDALONI, L. --- CPL. SIJEWIC, A. / CMOM. CHESTARO, T.W. --- PFC. FORLANO, L.A. --- PVT. MASCIA, V.J. --- SSGT. TAFURI, G. / TSGT. CHIAFARI, F.J. --- PVT. FRANZESE, S. --- PVT. MAZZA, N. --- CPL. THOMAS, A.J. / SSGT. CHIPICHETTA, J.A. --- COX. FURINO, L.A. --- CPL. MONTEFORTE, F.J. --- PFC. TITANO, S.C. / PFC. CIA, J. --- PVT. GAGAS, C.J. --- PFC. MURAWSKI, M. --- PVT. UVINO, A. P. / PFC. CIANTRO, JR., P. --- PL.SGT, GATTO, J.D. --- CPL. PACIA, M.A. --- PFC. VELOTTA, F.P. / CPL. CIFALDI, J. --- LT.FR. GIORGIO, E.J. --- PFC. PALLADINO, F.D. --- SSGT. VINTIS, C.V. / SGT. CIMINO, V.J. --- PVT. GRASSANO, N. --- PVT. PECORA, F.D. --- PFC. VITACCO, S. / PFC. CORTWRIGHT, W.H. --- PVT. GUIDICE, A.M. --- PFC. PIZZONIA, A. --- SFC. YODICE, G. I. / PVT. GUIDICE, J.V. --- PFC. POPPOPA, J. / ERECTED BY THE TWENTY-SEVEN MEMORIAL POST NO. 1751, AMERICAN LEGION",3033,,"Bronze, granite","World War II, War",,1954,,,2323,,Union Avenue and Metropolitan Avenue,,Monument/Memorial,,,40.714254,NY
Brooklyn,Brooklyn,Alfred Tredway White Memorial,,,Henry,,"Bas-relief, stele",Brooklyn Botanic Garden,,1.0,N,Daniel,1923,N,,"D.C. FRENCH 1922


ALFRED TREDWAY WHITE /1846-1921/LOVER OF NATURE/HELPER OF MANKINS/BELOVED OF ALL

(Stele) GIFTS IN MEMORY OF/ SETH OLIVER HAWKINS/ 1965-1989/FROM HIS FAMILY AND FRIENDS/
MADE POSSIBLE THE PLACEMENT/OF THIS REPLICA OF/A DANIEL CHESTER FRENCH BAS RELIEF IN THIS/
THE ORIGINAL LOCATION/JUNE 1900",1155,,"Bronze, fieldstone",Philanthropist,,1922,,French,1183,,Washington Street and Crown Street,,Monument/Memorial,,,40.667947,NY
New York,Manhattan,Giuseppe Mazzini,G. Fisher & Bros Brnz Works,"F. Malnati, Woodlawn, NY",F.,,"Bust, pedestal",Central Park,,1.0,N,Giovanni,1878,N,,"Front: GIUSEPPE MAZZINI Right: DIO E IL POPULO Left: PENSIERO ED AZIONE Rear: PRESENTED / TO THE CITY OF NEW YORK / BY THE ITALIANS / IN THE
U.S. OF AMERICA / 1878",3911,,"Bronze, granite","Philosopher, Politician",,1876,,Turini,1111,,West Drive,,Monument/Memorial,,,40.772996,NY
New York,Manhattan,Mother Goose,,"J. Cacioppo, R. Anslow (?)",Aymar,,Sculpture,Central Park,,1.0,N,Frederick,1938,N,,F.G.R. ROTH,"1859, 2208",,Granite,"Literary Character, WPA, Woman, women",,1938,,Roth,1111,,Rumsey Playfield,,Artwork,,,40.772405,NY
New York,Manhattan,Governor Alfred E. Smith Memorial,,,,,Statue,Alfred E. Smith Playground,,160.0,N,Charles,1950,N,,"Front: THESE HOUSES ARE NAMED / FOR / ALFRED EMANUEL SMITH / 1873 - 1944 / SPEAKER OF THE ASSEMBLY / SHERIFF OF NEW YORK COUNTY / PRESIDENT OF THE BOARD OF / ALDERMEN / FOUR TIMES GOVERNOR OF / THE STATE OF NEW YORK / NOMINEE FOR / PRESIDENCY OF THE / UNITED STATES / THIS MEMORIAL IS THE / GIFT OF HIS FRIENDS Right: BORN AND RAISED / IN THIS OLD EAST / SIDE AS WERE HIS / FATHER, MOTHER / WIFE AND FIVE / CHILDREN. HE/ WORKED DEVOT-/ EDLY TO MAKE IT / A BETTER AND A/ HAPPIER HOME / FOR HIS NEIGHBORS Left: HAPPY WARRIOR / FOR THE RIGHTS / OF HUMANITY HE / VOICED THE FAITH / ""THE GREATEST / PRIVILEGE THAT / CAN COME TO ANY / MAN IS TO GIVE / HIMSELF TO THE / NATION WHICH / REARED HIM""",2673,,"Bronze, marble","Politician, public servant, Governor, Irish, Catholic",,1946,,Keck,111,,Catherine Street and Cherry Street,,Monument/Memorial,,,40.710861,NY
New York,Manhattan,Coenties Ship,,,,,Sculpture,Coenties Slip,,,Y,Bryan,2006,N,,,6519,,"Stainless steel, cast glass",Abstract,,2006,,Hunt,,,Coenties Slip between Water Street and Pearl Street,,Artwork,,,40.703484,NY
New York,Manhattan,Eleventh Milestone Marker,,,,,"Plaque, plinth",Roger Morris Park,,1.0,Y,,1912,Y,,11 MILES FROM / N. YORK / ON THE KINGSBRIDGE RD / IN 1769 AT 170TH STREET / IN 1819 AT 189TH STREET / THE CITY HISTORY CLUB / 1912,649,,"Granite, brass, brownstone",Milestone,,1912,,,2106,,West 160th Street and Jumel Terrace,,Marker,,,40.834578,NY
New York,Manhattan,Carl Schurz Memorial,Jno. Williams,Piccirilli Brothers,Henry,,"Statue, exedra",Morningside Park,,1.0,N,Karl,1913,N,,CARL SCHURZ / SOLDIER - STATESMAN / PHILANTHROPIST / 1829 1906/,415,,"Bronze, granite","German, Revolutionary, Politician, Journalist, Reformer, Veteran",,1913,,Bitter,1850,,Morningside Drive and 116th Street,,Monument/Memorial,,,40.805984,NY
Queens Village,Queens,Private Walter B. Robertson,,,,,Tree marker,Queens Village Veterans Plaza,,25.0,Y,,1939,N,,"THIS TREE IS DEDICATED TO / THE MEMORY OF / PVT. WALTER B. ROBERTSON / COMPANY F - 8TH REG'T - U.S. ARMY / SPANISH AMERICAN WAR / DIED - AUGUST 3, 1939",,,"Bronze, granite","Spanish-American War, War",,1939,,,10771,,Jamaica Avenue and Springfield Boulevard,,Marker,,,40.718139,NY
Astoria,Queens,Sophocles,Modern Art Foundry,Cold Spring Granite; Domenick de Nigris Monuments,,,Statue,Athens Square Park,,1.0,N,Chris,2015,N,,"Front: SOPHOCLES / 496 BC - 406 BC / ANCIENT GREEK PLAYWRIGHT, PRIEST, / POLITICIAN AND GENERAL OF ATHENS. / HIS COMPLETE PLAYS ARE / AJAX , ANTIGONE , ELECTRA, / OEDIPUS AT COLONUS, / OEDIPUS REX, TRACHINIAE, / PHILOCTETES Side 1: ONE WORK ALONE / REPAYS YOU FOR THE / LABOR OF OUR LIVES / LOVE / OEDIPUS AT COLONUS;  Side 2: FOR KINDNESS / BEGETS KINDNESS / EVERMORE / AJAX  Back: SOPHOCLES",3809,,"Bronze, Mountain Green granite","Greek, Playwright, Author",,2010,,Vilardi,594,,30th Avenue between 29th Street and 30th Street,,Artwork,,,40.767584,NY
New York,Manhattan,369th Infantry Regiment Memorial,,,,,Obelisk,369th Regiment Armory,,17.0,N,,2006,N,,North side: 93RD ST / DIVISION / (US) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT South side: 161 ST / DIVISION / (FR) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT,1665,,"Gray granite, polished","Harlem Hellfighters, World War I, War",,2006,,,1740,,2366 Fifth Avenue,,Monument/Memorial,,,"40.817006,",NY
New York,Manhattan,Firemen's Memorial,,,,,Sarcophagus,James J. Walker Park,,1.0,N,,1834,N,,"THIS MONUMENT IS ERECTED / BY THE MEMBERS OF / EAGLE FIRE ENGINE COMPANY / NO. 13 / IN CONNECTION WITH THE FRIENDS OF THE / DECEASED / TO COMMEMORATE THE SAD EVENT / CONNECTED WITH THEIR DEATH / AND THE LOSS / WHICH THEY DEPLORE /

Marble side 2:
HERE ARE INTERRED / THE BODIES OF / EUGENE UNDERHILL / AGED 20 YEARS 7 MONTHS AND 9 DAYS / AND FREDERICK A. WARD / AGED 22 YEARS 1 MONTH AND 16 DAYS / WHO LOST THEIR LIVES BY THE FALLING OF A BUILDING / WHILE ENGAGED / IN THE DISCHARGE OF THEIR DUTY AS / FIRE MEN / ON THE FIRST DAY OF DUTY / MDCCCXXXIV /

Bronze plaque:
THIS GROUND WAS USED AS A CEMETERY / BY TRINITY PARISH / DURING THE YEARS 1834-1898. / IT WAS MADE A PUBLIC PARK / BY THE CITY OF NEW YORK / IN THE YEAR 1897-8. / THIS MONUMENT STOOD IN THE CEMETERY / AND WAS REMOVED TO THIS SPOT / IN THE YEAR 1898. /",2252,,Marble,Firefighters,,1834,,,582,,Leroy Street & Clarkson Street,,Monument/Memorial,,,40.730092,NY
New York,Manhattan,Rocky Mountain Goats,,,Aymar,,Bas-relief,Central Park Zoo,,1.0,N,Frederick,1935,N,,,1859,,Indiana limestone,"Animals, WPA",,1935,,Roth,1111,,Central Park Zoo,,Artwork,,,40.767416,NY
New York,Manhattan,Peter Stuyvesant,,,,,Statue,Stuyvesant Square,,40.0,N,Gertrude,1941,N,,Base: PETER STUYVESANT / DIRECTOR - GENERAL / OF / NEW NETHERLAND / 1647 - 1664 / Signed: G.V. Whitney,2114,,"Bronze, granite","Colonial, Dutch, Governor",,1938,,Whitney,897,,Second Avenue between 15th Street and 17th Street,,Monument/Memorial,,,40.734030,NY
New York,Manhattan,General Horace Porter,,,Aymar,,"Flagstaff, plaque",Riverside Park,,100.0,N,,1939,N,,"IN MEMORIAM / HORACE PORTER / AIDE DE CAMP AND MILITARY SECRETARY/ CHATTANOOGA 1863-VIRGINIA 1864-5 / BRIGADIER GENERAL U.S.A. - AMBASSADOR TO FRANCE / PRESIDENT GRANT MONUMENT ASSOCIATION/
1891-1919",,,"Granite, bronze","Military, Armed Forces, Veteran, American Civil War, War",,1939,,,1897,,Riverside Drive and 122nd Street,,Monument/Memorial,,,40.8131333,NY
Brooklyn,Brooklyn,Ludwig Van Beethoven,"Lorne & Aylry, New York (1894 )",,,,"Bust, pedestal",Prospect Park,,1.0,N,Henry,1894,N,,"BEETHOVEN / PRESENTED TO THE / CITY OF BROOKLYN / BY THE UNITED GERMAN SINGERS / OF THE CITY. / FIRST PRIZE AT THE / 17TH NATIONAL SAENGERFEST, / HELD AT NEW YORK JUNE 22 - 26. /",5961,,"Bronze, granite","Composer, German, Musician,",,1894,,Baerer,1117,,Flower Garden,,Monument/Memorial,,,40.658778,NY
New York,Manhattan,Chester Alan Arthur,"The Henry-Bonnard Bronze Company, New York",,James,,Statue,Madison Square Park,,1.0,N,George,1899,N,,"Right side near base of sculpture: GEO. E. BISSELL/SCULPTOR 1898 Back side of sculpture: THE HENRY-BONNARD BRONZE CO./FOUNDERS, NY Front side of sculpture: JAMES BROWN LORD/ARCHITECT Front of pedestal: CHESTER ALANULLRTHUR/TWENTY-FIRST PRESIDENT/OF/THE UNITED STATES/OF AMERICA",1445,,"Bronze, granite","President of the United States, Vice President of the United States, politician, lawyer",Brown,1898,,Bissell,852,,Madison Avenue and East 26th Street,,Monument/Memorial,,,40.742738,NY
Brooklyn,Brooklyn,Henry Ward Beecher Monument,Bonnard Bronze Co,,Richard,,Statue,Columbus Park,,1.0,N,John,1891,N,,HENRY WARD BEECHER / 1813-1887 THE GRATEFUL GIFT / OF MULTITUDES OF / ALL CLASSES CREEDS / AND CONDITIONS / AT HOME AND ABROAD / TO HONOR THE GREAT / APOSTLE OF THE / BROTHERHOOD OF MAN.,"139, 2739",,"Bronze, granite","Abolitionist, Religious leader, Clergy, Orator",Morris,1890,,Ward,139,,Johnson Street between Cadman Plaza W and Adams Street,,Monument/Memorial,,,40.694870,NY
New York,Manhattan,Sundial,,General Bronze Corporation,,,Sundial,Central Park,,1.0,N,A.,1945,N,,,,,"Bronze, stone",Sundial,,1945,,Beretta,1111,,Shakespeare Garden,,Artwork,,,40.779811,NY
Richmond Hill,Queens,Corporal Robert Gray Tree Marker,,,,,Tree marker,Forest Park,,1050.0,,,,,,THIS TREE IS DEDICATED TO / THE MEMORY OF / CORP. ROBERT GRAY / CO. L. 106TH INFANTRY / WHO DIED IN THE WORLD WAR / 1914-1918 /,,,Bronze,"World War I, War",,,,,3907,,Schaefer Circle,,Marker,,,40.701459,NY
Jamaica,Queens,Upland Park Memorial,,,,,Flagstaff base,Captain Tilly Memorial Park,,164.0,N,Anthony,1929,N,,IN MEMORY OF / ROBERT DITMARS VAN SICLEN / 1905 - 1928,1593,,Gray westerly granite,"Spanish-American War, War",,1929,,Grande,9848,,Highland Avenue and 165th Street,,Monument/Memorial,,,40.711315,NY
New York,Manhattan,Fort Washington Memorial,,,Charles,,Stele,Fort Washington Park,,189.0,N,,1901,N,,"1776 --- HUDSON FULTON CELBRATION COMMISSION --- 1909 / ON THIS HILL-TOP STOOD FORT TRYON / THE NORTHERN OUT-WORK OF / FORT WASHINGTON. / ITS GALLLANT DEFENSE AGAINST / THE HESSIAN TROOPS / BY / THE MARYLAND AND VIRGINIA REGIMENT/ 16 NOVEMBER 1776 / WAS SHARED BY / MARGARET CORBIN / THE FIRST AMERICAN WOMAN / TO TAKE A SOLDIER'S PART / IN THE WAR FOR LIBERTY / --- / ERECTED UNDER THE AUSPICES OF / THE AMERICAN SCENIC AND HISTORIC / PRESERVATION SOCIETY / THROUGH THE GENEROSITY OF / C.K.G. BILLINGS / ERECTED THROUGH THE GENEROSITY OF / JAMES GORDON BENNETT / BY THE EMPIRE STATE SOCIETY OF THE / SONS OF THE AMERICAN REVOLUTION / NOVEMBER 16, 1901. / SITE / REGISTERED BY / THE AMERICAN / SCENIC AND HISTORIC / PRESERVATION / SOCIETY / 1901 /",2281,,"Marble, bronze, granite",American Revolutionary War,,1901,,,2179,,Fort Washington Avenue and 183rd Street,,Monument/Memorial,,,40.852744,NY
Flushing,Queens,Haym Salomon,,,,,Stele,Haym Solomon Memorial,,,Y,,1976,N,,"THIS PLAQUE IS DEDICATED TO HAYM SOLOMON IN / RECOGNITION OF HIS TIRELESS EFFORTS ON BEHALF / OF THE REVOLUTIONARY ARMY. /  SALOMON, A POLISH JEWISH IMMIGRANT, WAS SO / IMBUED WITH THE SPIRIT OF FREEDOM, HE WITHOUT / MUCH ASSISTANCE, FINANCED THE AMERICAN / REVOLUTIONARYT WAR BY HIS INEXHAUSTIBLE FUND- / RAISING. THOUGH HIS HEALTH WAS RUINED DURING / HIS IMPRISONMENT BY THE BRITISH, SALOMON'S FAITH / IN JUDAISM NEVER FALTERED, NOR DID HIS BELIEF IN / THE GREATNESS OF OUR COUNTRY, WHILE HE RAISED / HUNDREDS OF THOUSANDS OF DOLLARS FOR THE WAR / EFFORT, SALOMON, IRONICALLY, DIED PENNILESS. // APPROXIMATELY 100 YEARS AFTER HIS DEATH, HAYM / SALOMON WAS FINALLY ACKNOWLEDGED BY THE / UNITED STATES FOR HIS EXTRAORDINARY PATRIOTISM.",,,"Granite, concrete","American Revolutionary War, War, Colonial, Jewish, Sephardic, Polish, Immigrant",,1976,,,,,"Main Street, Vleigh Place, 72nd Drive, and 72nd Road",,Monument/Memorial,,,40.725893,NY
