borough,project_name,total_schedule_changes,latest_schedule_changes,date_reported_as_of,total_budget_changes,pid,forecast_completion,category,current_phase
,New Storm Sewer N Conduit Av-Baisley Blvd,1619.0,212.0,2022-09-01T00:00:00.000,31711000.0,792,2028-11-20T00:00:00.000,Sewers,Design
Staten Island,Staten Island 1 & 3 Garage Construction & Rehab,406.0,0.0,2021-12-01T00:00:00.000,68555000.0,769,2023-09-01T00:00:00.000,Sanitation,Construction
Citywide,Emergency Communications Transformation Program (ECTP) Upgrades and Enhancements,2252.0,119.0,2020-05-01T00:00:00.000,73735148.87,267,2021-02-15T00:00:00.000,IT,IT
Queens,Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,1891.0,-428.0,2022-09-01T00:00:00.000,-4338327.57,313,2024-05-30T00:00:00.000,Wastewater Treatment,Construction
,Coastal Resiliency – Project Area 2,0.0,,2021-07-01T00:00:00.000,448000.0,1170,2024-10-13T00:00:00.000,Streets and Roadways,Construction
Brooklyn,Wyckoff Avenue Street Reconstruction,226.0,3287.0,2014-01-01T00:00:00.000,43926000.0,191,2035-07-16T00:00:00.000,Streets and Roadways,Design
"Manhattan, Bronx",Madison Avenue Bridge Reconstruction,1628.0,,2019-09-01T00:00:00.000,2036997.0,114,,Bridges,Construction
Citywide,Raise Shorelines Citywide,639.0,0.0,2020-05-01T00:00:00.000,0.0,689,2022-12-31T00:00:00.000,Industrial Development,Design
,"STORM SEWER IN KING STREET, SI",732.0,0.0,2023-01-01T00:00:00.000,-1094000.0,1252,2028-08-25T00:00:00.000,Streets and Roadways,Design
"Manhattan, Bronx",Madison Avenue Bridge Reconstruction,1628.0,0.0,2016-06-01T00:00:00.000,2036997.0,114,2019-07-03T00:00:00.000,Bridges,Design
Manhattan,"West 59th Street Marine Transfer Station Construction, Phase 2",1949.0,215.0,2023-01-01T00:00:00.000,126753576.46,347,2023-05-31T00:00:00.000,Sanitation,Construction
,EMS Station 17 - New Facility,434.0,141.0,2022-09-01T00:00:00.000,13113000.0,1153,2025-01-07T00:00:00.000,Other Government Facilities,Design
,"WESTBOURNE - DUNBAR ROADWAYS/BULKHEADS, QNS",1840.0,,2020-10-01T00:00:00.000,47223000.0,981,,Streets and Roadways,
,Porpoise Bridge In Flushing Meadows-Corona Park,1110.0,98.0,2022-09-01T00:00:00.000,82000.0,749,2026-08-12T00:00:00.000,Bridges,Construction Procurement
,New 116Th Pct,727.0,,2020-10-01T00:00:00.000,33852900.86,762,,Public Safety and Criminal Justice,
Citywide,Electronic Medical Records Upgrade,2032.0,0.0,2021-07-01T00:00:00.000,15184947.0,403,2022-12-31T00:00:00.000,"Health and Hospitals, IT",IT
,Croton Above Ground Structure And Landscaping,897.0,-105.0,2019-01-01T00:00:00.000,75117000.0,747,2021-03-18T00:00:00.000,Industrial Development,Construction
,Reconstruct Main Sewage Pump Controls at Port Richmond WWTP,516.0,90.0,2021-03-01T00:00:00.000,26923720.62,948,2026-02-23T00:00:00.000,Wastewater Treatment,Design
,Reconstruction of Clearview Pump Station,2.0,2.0,2023-01-01T00:00:00.000,802582.0,1216,2024-12-05T00:00:00.000,Wastewater Treatment,Construction
,Grant Park Construction,612.0,0.0,2021-07-01T00:00:00.000,1489000.0,1015,2024-02-08T00:00:00.000,Parks,Construction Procurement
Brooklyn,Brooklyn Supreme Court Fire Alarm System Upgrade,1533.0,124.0,2021-12-01T00:00:00.000,47003000.0,510,2026-03-30T00:00:00.000,Public Safety and Criminal Justice,Design
,Brooklyn P.S. at 4302 4TH AVE,365.0,0.0,2021-12-01T00:00:00.000,-221356.0,949,2023-09-03T00:00:00.000,Schools,Construction
Upstate,"Gilboa Dam Reconstruction, Phase III",1113.0,0.0,2016-11-01T00:00:00.000,10376533.49,405,2020-07-27T00:00:00.000,Water Supply,Construction
Staten Island,Roma and Hett Avenue Storm and Sanitary Sewer Installation,-8.0,,2020-05-01T00:00:00.000,62973000.0,206,,Sewers,
Port Jervis,Reconstruction of the Port Jervis Wastewater Treatment Plant,2445.0,351.0,2017-04-01T00:00:00.000,9428438.55,444,2021-03-26T00:00:00.000,Wastewater Treatment,Construction Procurement
,Flushing Meadows Corona Park World's Fair Marina Reconstruction (Hurricane Sandy),708.0,315.0,2021-03-01T00:00:00.000,4947362.68,1031,2024-10-27T00:00:00.000,Parks,Design
,Pier 35 & 36 Substructure Rehab,56.0,,2022-09-01T00:00:00.000,-119030592.92,1290,2027-08-01T00:00:00.000,Industrial Development,Construction Procurement
,Storm Mitigation Loan Program at Red Hook,921.0,154.0,2019-01-01T00:00:00.000,13549422.97,721,2021-06-23T00:00:00.000,Wastewater Treatment,Design
"Bronx, Manhattan",Broadway Bridge over Harlem River Replacement,2797.0,0.0,2017-04-01T00:00:00.000,39724388.0,106,2020-11-13T00:00:00.000,Bridges,Design
,Queens PS 206  New Construction,365.0,0.0,2020-05-01T00:00:00.000,2268625.0,970,2022-09-03T00:00:00.000,Schools,Construction
Brooklyn,Flatbush Avenue Trunk Watermain Replacement,2266.0,0.0,2022-04-01T00:00:00.000,39272000.0,370,2023-09-29T00:00:00.000,Wastewater Treatment,Construction
,"FDR Rehabilitation, Northbound (East 42nd to 49th Streets)",1816.0,0.0,2016-11-01T00:00:00.000,-2802822.0,502,2025-04-01T00:00:00.000,Bridges,Design
,253 Broadway NYC. Fire Alarm Raplacement,1553.0,0.0,2019-01-01T00:00:00.000,17827000.0,850,2022-09-30T00:00:00.000,Other Government Facilities,Design
,HEMPSTEAD AVE OVER BCIP RAMP NB BIN 2266149,402.0,0.0,2023-01-01T00:00:00.000,597042.0,1050,2030-07-07T00:00:00.000,"Bridges, Streets and Roadways",Design
,"RECONST. OF COLUMBIA ST., PH II/BED-768B/SEK002321",972.0,0.0,2021-12-01T00:00:00.000,6730000.0,845,2025-07-14T00:00:00.000,Streets and Roadways,Design
,"Grand Concourse Reconstruction, Phase 4 (Great Streets)",1448.0,-441.0,2019-01-01T00:00:00.000,57634000.0,476,2022-08-30T00:00:00.000,Streets and Roadways,Construction Procurement
Queens,"STM & SAN SWR, WILLET PT BLVD WHITESTONE AREA, PH2",642.0,,2020-10-01T00:00:00.000,41243000.0,651,,Sewers,
,RECONSTRUCTION OF SOUTH JAMAICA AREA (SEQ200562),366.0,0.0,2021-12-01T00:00:00.000,1360000.0,1163,2026-02-09T00:00:00.000,Streets and Roadways,Design
Brooklyn,Brooklyn Civil Court move to 210 Joralemon St,1977.0,16.0,2019-05-01T00:00:00.000,200931011.96,509,2023-03-17T00:00:00.000,Public Safety and Criminal Justice,Design
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,0.0,2018-03-01T00:00:00.000,117177000.0,432,2021-06-29T00:00:00.000,Sewers,Construction
Citywide,Emergency Communications Transformation Program (ECTP) Upgrades and Enhancements,2252.0,166.0,2020-10-01T00:00:00.000,73735148.87,267,2021-07-31T00:00:00.000,IT,IT
,150 ST SPINE: PHASE II TRUNK SEWER AT BERGEN BASIN,646.0,,2020-05-01T00:00:00.000,-158027000.0,999,,Sewers,
,RED HOOK INTEGRATED FLOOD PROTECTION SYSTEM,1172.0,,2019-09-01T00:00:00.000,86623000.0,985,2024-02-14T00:00:00.000,Public Safety and Criminal Justice,Design
,New Ferry Boat Construction,549.0,0.0,2016-11-01T00:00:00.000,-238419180.0,94,2020-03-16T00:00:00.000,Ferries,Construction Procurement
,SOUTHEAST QUEENS PRIORITY GRIDS - GROUP 2,1630.0,-65.0,2019-05-01T00:00:00.000,14480000.0,847,2024-07-10T00:00:00.000,Streets and Roadways,Design
,Sewer When & Where Contract In S.E. Queens,1834.0,746.0,2021-07-01T00:00:00.000,7404000.0,793,2024-08-23T00:00:00.000,Sewers,Design
Brooklyn,Sunset Park Infrastructure,1290.0,156.0,2018-03-01T00:00:00.000,31633941.69,574,2021-05-30T00:00:00.000,Industrial Development,Design
,Queens Public School 169 Addition,366.0,,2020-01-01T00:00:00.000,5307201.0,1028,2023-09-03T00:00:00.000,Schools,Construction Procurement
Bronx,"Pelham Parkway Roadway Reconstruction, Phase 2",2869.0,20.0,2017-04-01T00:00:00.000,125164000.0,180,2018-06-16T00:00:00.000,Streets and Roadways,Construction Procurement
,Reconstruction of 233rd Street and 154th Street PSs,59.0,,2022-09-01T00:00:00.000,4295639.0,1296,2027-02-18T00:00:00.000,Wastewater Treatment,Design
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,135.0,2016-01-01T00:00:00.000,134242052.88,423,2021-01-26T00:00:00.000,Wastewater Treatment,Design
,Storm Sewer Outlet In 224Th St,1238.0,,2021-03-01T00:00:00.000,155854000.0,784,,Sewers,
Queens,RECONSTRUCTION OF QUEENS BLVD - PHASE 2,2315.0,243.0,2019-09-01T00:00:00.000,14201000.0,619,2026-05-14T00:00:00.000,Industrial Development,Design
,Hudson River Drainage Chamber Rehabilitation,-30.0,1.0,2023-01-01T00:00:00.000,502287.0,1277,2028-03-01T00:00:00.000,Water Supply,Design
Upstate,"Gilboa Dam Reconstruction, Phase III",1113.0,165.0,2020-10-01T00:00:00.000,10376533.49,405,2022-04-01T00:00:00.000,Water Supply,Construction
Manhattan,253 Broadway Landmark's Space Renovations,1696.0,193.0,2018-03-01T00:00:00.000,35010000.0,639,2019-04-19T00:00:00.000,Other Government Facilities,Construction
Bronx,"Pelham Parkway Roadway Reconstruction, Phase 2",2869.0,0.0,2022-04-01T00:00:00.000,125164000.0,180,2023-12-22T00:00:00.000,Streets and Roadways,Construction
,Bronx Animal Care Center,110.0,32.0,2022-04-01T00:00:00.000,24815617.0,893,2025-02-15T00:00:00.000,Health and Hospitals,Construction Procurement
,"Combined Sewer In 70Th Street, Queens",1155.0,,2018-03-01T00:00:00.000,94201000.0,788,2020-06-11T00:00:00.000,Sewers,Design
,New 116Th Pct,727.0,-58.0,2019-05-01T00:00:00.000,33852900.86,762,2022-04-05T00:00:00.000,Public Safety and Criminal Justice,Construction Procurement
,Far Rockaway New Facility,-78.0,,2020-10-01T00:00:00.000,-623757.91,730,,Other Government Facilities,
Manhattan,"West 59th Street Marine Transfer Station Construction, Phase 2",1949.0,185.0,2021-12-01T00:00:00.000,126753576.46,347,2022-02-28T00:00:00.000,Sanitation,Construction
Bronx,"Pelham Parkway Roadway Reconstruction, Phase 2",2869.0,0.0,2019-09-01T00:00:00.000,125164000.0,180,2023-03-31T00:00:00.000,Streets and Roadways,Construction
,East River Esplanade Stabilization and Reconstruction Phase 2,156.0,61.0,2022-04-01T00:00:00.000,0.0,1082,2024-11-23T00:00:00.000,Parks,Design
Bronx,East 156th Street Bridge over Access to Housing,1720.0,1129.0,2019-01-01T00:00:00.000,-363846.0,588,2027-10-09T00:00:00.000,"Bridges, Streets and Roadways",Design
,BROWNSVILLE LIBRARY MAJOR RENOVATIONS,916.0,181.0,2021-12-01T00:00:00.000,6752000.0,977,2026-07-02T00:00:00.000,Libraries,Design
,Williamsburg Bridge Miscellaneous Repairs and Painting,362.0,27.0,2022-04-01T00:00:00.000,52784947.0,599,2026-04-21T00:00:00.000,Bridges,Construction Procurement
,Reconstruction of the Main Sewage Pumps System at Owl's Head WRRF,0.0,0.0,2022-09-01T00:00:00.000,32731384.43,1279,2030-06-13T00:00:00.000,Wastewater Treatment,Design
,DOH Public Health Lab,1.0,0.0,2022-04-01T00:00:00.000,19334959.71,909,2025-01-01T00:00:00.000,Health and Hospitals,Construction Procurement
,FUEL TANK & SUMP REPLACEMENTS - BRONX,663.0,0.0,2023-01-01T00:00:00.000,-1834000.0,901,2025-01-22T00:00:00.000,Industrial Development,Construction
,GREENWICH STREET RECONSTRUCTION,-1.0,0.0,2023-01-01T00:00:00.000,4449000.0,1175,2024-11-06T00:00:00.000,Streets and Roadways,Construction
Citywide,Catskill Aqueduct Repair and Rehabilitation,1517.0,106.0,2022-09-01T00:00:00.000,9642889.68,478,2022-11-15T00:00:00.000,Water Supply,Construction
Brooklyn,Reconstruction of the West and North Docks at the OH WWTP,1389.0,376.0,2020-01-01T00:00:00.000,10985726.8,720,2023-02-22T00:00:00.000,Wastewater Treatment,Construction
Brooklyn,Reconstruction of the West and North Docks at the OH WWTP,1389.0,84.0,2019-05-01T00:00:00.000,10985726.8,720,2021-11-08T00:00:00.000,Wastewater Treatment,Design
,"Reconstruction Of Arthur Kill Road, Phase I",1415.0,256.0,2018-08-01T00:00:00.000,22503000.0,741,2023-03-13T00:00:00.000,Streets and Roadways,Design
Citywide,Raise Shorelines Citywide,639.0,0.0,2019-09-01T00:00:00.000,0.0,689,2022-12-31T00:00:00.000,Industrial Development,Design
Brooklyn,Bergen Avenue Street Reconstruction,-388.0,0.0,2021-07-01T00:00:00.000,45837000.0,170,2023-06-24T00:00:00.000,Streets and Roadways,Construction
Bronx,New 40th Precinct,711.0,475.0,2021-07-01T00:00:00.000,26020000.0,634,2022-10-13T00:00:00.000,Public Safety and Criminal Justice,Construction
,Coastal Resiliency – Project Area 2,0.0,0.0,2022-09-01T00:00:00.000,448000.0,1170,2024-10-13T00:00:00.000,Streets and Roadways,Construction
Staten Island,CONSTRUCTION OF BMPs NC 6 AND 15 - SI,925.0,,2019-09-01T00:00:00.000,1921000.0,631,,Industrial Development,
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,442.0,2018-08-01T00:00:00.000,134242052.88,423,2022-05-22T00:00:00.000,Wastewater Treatment,Construction
,Storm Sewer Outlet In 224Th St,1238.0,,2020-05-01T00:00:00.000,155854000.0,784,,Sewers,
,79TH STREET CROSSTOWN SELECT BUS SERVICE,737.0,366.0,2022-09-01T00:00:00.000,3370000.0,1237,2028-06-25T00:00:00.000,Streets and Roadways,Design
,"WESTBOURNE - DUNBAR ROADWAYS/BULKHEADS, QNS",1840.0,0.0,2023-01-01T00:00:00.000,47223000.0,981,2029-09-26T00:00:00.000,Streets and Roadways,Design
,HILL DR (TERRACE BR) OVER PROSPECT PARK LAKE BIN 2244120,636.0,120.0,2022-09-01T00:00:00.000,-785268.0,1073,2028-12-06T00:00:00.000,Bridges,Design
,HIGH LEVEL STM SEWERS IN GOWANUS CANAL AREA-PH II,813.0,210.0,2022-04-01T00:00:00.000,8657000.0,849,2022-11-23T00:00:00.000,Sewers,Construction
,Brooklyn Bridge - Approach Arches Rehabilitation,1908.0,,2021-03-01T00:00:00.000,33135732.1,584,,Bridges,
Brooklyn,Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,3253.0,0.0,2021-12-01T00:00:00.000,96724000.0,193,2024-06-04T00:00:00.000,Streets and Roadways,Construction
Manhattan,West 79th Street over Amtrak and Rotunda Complex Rehabilitation,604.0,137.0,2020-10-01T00:00:00.000,-51088528.0,801,2025-06-01T00:00:00.000,"Bridges, Streets and Roadways",Construction Procurement
,150 ST SPINE: PHASE II TRUNK SEWER AT BERGEN BASIN,646.0,,2021-03-01T00:00:00.000,-158027000.0,999,,Sewers,
Manhattan,2nd Avenue Watermain Trunk Construction,2113.0,0.0,2017-09-01T00:00:00.000,-7266000.0,388,2019-09-22T00:00:00.000,Water Supply,Construction
,WOODHAVEN BLVD QUEENS BLVD BIN# 2248159,932.0,160.0,2022-09-01T00:00:00.000,2052000.0,1128,2027-10-10T00:00:00.000,Bridges,Design
,"City Tunnel No.3, Stage 2 in Queens and Brooklyn, Construction of Shaft 17B and 18B",119.0,0.0,2022-09-01T00:00:00.000,3150108.42,1042,2027-01-24T00:00:00.000,Water Supply,Construction
Bronx,Replacement of The Digester at The Hunts Point WWTP,1355.0,-30.0,2019-09-01T00:00:00.000,72852004.14,580,2024-09-22T00:00:00.000,Wastewater Treatment,Construction Procurement
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,,2020-10-01T00:00:00.000,75370000.0,665,,Other Government Facilities,
,Porpoise Bridge In Flushing Meadows-Corona Park,1110.0,113.0,2021-12-01T00:00:00.000,82000.0,749,2026-04-06T00:00:00.000,Bridges,Design
,Brooklyn Public School 730 New Construction,730.0,0.0,2019-09-01T00:00:00.000,6379885.0,876,2021-09-03T00:00:00.000,Schools,Construction
Queens,Roosevelt Avenue Bridge Superstructure and Substructure Repairs,2003.0,0.0,2020-01-01T00:00:00.000,23798213.0,101,2020-08-28T00:00:00.000,Bridges,Construction
Brooklyn,Brooklyn Civil Court move to 210 Joralemon St,1977.0,301.0,2023-01-01T00:00:00.000,200931011.96,509,2026-03-31T00:00:00.000,Public Safety and Criminal Justice,Construction
,"SUNSET PARK GOWANUS CONNECTOR, BK",445.0,170.0,2022-09-01T00:00:00.000,-16441000.0,979,2023-05-16T00:00:00.000,"Parks, Streets and Roadways",Construction
Queens,20th Avenue Storm and Sanitary Sewer Construction,2180.0,0.0,2021-12-01T00:00:00.000,117177000.0,432,2023-06-19T00:00:00.000,Sewers,Construction
,DELANCEY STREET SAFETY IMPROVEMENTS,1217.0,123.0,2022-04-01T00:00:00.000,20937000.0,983,2026-10-23T00:00:00.000,Streets and Roadways,Design
Manhattan,Coler Specialty Hospital Priority Mitigation Projects,2085.0,0.0,2020-01-01T00:00:00.000,0.0,544,2020-10-31T00:00:00.000,Health and Hospitals,Construction
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,,2017-09-01T00:00:00.000,75370000.0,665,2022-11-30T00:00:00.000,Other Government Facilities,Design
Staten Island,Staten Island 1 & 3 Garage Construction & Rehab,406.0,,2020-10-01T00:00:00.000,68555000.0,769,,Sanitation,
,BROAD CHANNEL BULKHEADS - PH II,-74.0,,2017-09-01T00:00:00.000,61781000.0,617,2024-08-27T00:00:00.000,Industrial Development,Design
,Queens Public School 46 Additionl,365.0,365.0,2020-10-01T00:00:00.000,0.0,1027,2023-09-03T00:00:00.000,Schools,Construction
,"Ped Safety Upgrades on Atlantic Avenue, Phase 2",1400.0,74.0,2019-09-01T00:00:00.000,10136496.0,519,2023-02-01T00:00:00.000,Streets and Roadways,Design
,Network Infrastructure Refresh Program,,,2018-08-01T00:00:00.000,180514000.0,863,,"Health and Hospitals, IT",IT
,GREENWICH STREET RECONSTRUCTION,-1.0,-1.0,2021-12-01T00:00:00.000,4449000.0,1175,2024-11-06T00:00:00.000,Streets and Roadways,Construction
,EITS - Cybersecurity,,,2023-01-01T00:00:00.000,50000000.0,1251,,"Health and Hospitals, IT",IT
Queens,Belt System - Cross Island over 115th Avenue/Dutch Broadway,1845.0,534.0,2022-09-01T00:00:00.000,17528706.0,558,2028-07-18T00:00:00.000,Bridges,Design
Bronx,Pelham Bay Equestrian Park over Amtrak,1029.0,181.0,2020-05-01T00:00:00.000,137997.0,703,2027-07-11T00:00:00.000,Bridges,Design
,Construction of a New Training Academy,,,2022-04-01T00:00:00.000,0.0,1230,,Other Government Facilities,
Manhattan,Carl Schurz Park Promenade over FDR (East 81st to 90th Streets),1571.0,0.0,2017-09-01T00:00:00.000,-197139579.0,537,2025-10-31T00:00:00.000,Bridges,Design
Queens,Power Distribution at Bowery Bay WWTP,1684.0,0.0,2021-12-01T00:00:00.000,24235381.01,522,2023-01-27T00:00:00.000,Wastewater Treatment,Construction
New York,North River Wastewater Treatment Plant Cogeneration and Electrification,1712.0,0.0,2021-03-01T00:00:00.000,134242052.88,423,2023-01-15T00:00:00.000,Wastewater Treatment,Construction
Brooklyn,Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,3253.0,1536.0,2019-01-01T00:00:00.000,96724000.0,193,2024-06-04T00:00:00.000,Streets and Roadways,Construction
,Lower Manhattan Coastal Resiliency (LMCR): Battery,-29.0,,2021-12-01T00:00:00.000,0.0,1223,2025-04-30T00:00:00.000,Parks,Design
Upstate,"Gilboa Dam Reconstruction, Phase IV",1684.0,278.0,2017-09-01T00:00:00.000,33535991.2,406,2021-10-06T00:00:00.000,Water Supply,Construction
,"New water main work in 7th avenue between 14th street and 34th street, and other locations as shown on page 3 of attached CPI",181.0,,2021-07-01T00:00:00.000,1335000.0,1178,,Streets and Roadways,Design
,Boston Road Bridge Over Hutchinson River Rehabilitation,803.0,0.0,2019-09-01T00:00:00.000,49309814.0,539,2024-05-14T00:00:00.000,"Bridges, Streets and Roadways",Design
Brooklyn,Brooklyn Sanitation Garage Construction: Community District 3,790.0,0.0,2022-09-01T00:00:00.000,25603365.0,560,2024-12-31T00:00:00.000,Sanitation,Construction
,Power Distribution Improvements at Tallman Island,651.0,30.0,2021-07-01T00:00:00.000,10926063.83,907,2026-01-02T00:00:00.000,Industrial Development,Design
Manhattan,Coler Specialty Hospital Priority Mitigation Projects,2085.0,0.0,2020-05-01T00:00:00.000,0.0,544,2020-10-31T00:00:00.000,Health and Hospitals,Construction
Brooklyn,"5th Avenue Bridge Reconstruction over LIRR and Sea Beach, Brooklyn",969.0,0.0,2022-04-01T00:00:00.000,36577693.0,504,2027-12-03T00:00:00.000,Bridges,Design
,SAFE ROUTES TO SCHOOL MANHATTAN,505.0,148.0,2021-12-01T00:00:00.000,7175000.0,1181,2025-04-24T00:00:00.000,Streets and Roadways,Design
Staten Island,Staten Island 1 & 3 Garage Construction & Rehab,406.0,62.0,2022-09-01T00:00:00.000,68555000.0,769,2024-03-25T00:00:00.000,Sanitation,Construction
Staten Island,Oakwood Beach WWTP Headworks Improvements,2857.0,132.0,2017-04-01T00:00:00.000,31867440.0,450,2022-05-05T00:00:00.000,Wastewater Treatment,Design
,Brooklyn Public School 748  New Construction,0.0,0.0,2021-12-01T00:00:00.000,0.0,1098,2023-09-03T00:00:00.000,Schools,Construction
Bronx,Jerome Reservoir and Aqueduct Rehabilitation,2363.0,216.0,2020-10-01T00:00:00.000,-833277.14,448,2023-10-18T00:00:00.000,Water Supply,Construction Procurement
,FUEL TANK & SUMP REPLACEMENTS - QUEENS,663.0,,2020-10-01T00:00:00.000,-1850000.0,898,,Industrial Development,
,79th St Boat Basin,1036.0,0.0,2020-05-01T00:00:00.000,-1131246.67,862,2023-08-30T00:00:00.000,Parks,Design
,FUEL TANK & SUMP REPLACEMENTS - BRONX,663.0,20.0,2021-12-01T00:00:00.000,-1834000.0,901,2025-01-22T00:00:00.000,Industrial Development,Construction
Upstate,"Gilboa Dam Reconstruction, Phase IV",1684.0,-3.0,2022-04-01T00:00:00.000,33535991.2,406,2022-08-29T00:00:00.000,Water Supply,Construction
Upstate,"Gilboa Dam Reconstruction, Phase V",503.0,0.0,2023-01-01T00:00:00.000,-3079490.0,456,2026-04-16T00:00:00.000,Water Supply,Design
,Queensboro Bridge Roadway Replacement over East River,1970.0,0.0,2019-05-01T00:00:00.000,8567339.67,594,2022-10-28T00:00:00.000,"Bridges, Streets and Roadways",Construction
Queens,Power Distribution at Bowery Bay WWTP,1684.0,107.0,2019-01-01T00:00:00.000,24235381.01,522,2022-06-29T00:00:00.000,Wastewater Treatment,Construction Procurement
,150Th St Spine Phase 1 Storm Sewer At Bergen Basin,753.0,-30.0,2022-04-01T00:00:00.000,101452000.0,791,2025-10-04T00:00:00.000,Sewers,Design
,Reconstruction of Clearview Pump Station,2.0,0.0,2022-04-01T00:00:00.000,802582.0,1216,2024-12-03T00:00:00.000,Wastewater Treatment,Construction Procurement
,"Red Hook Recreation Area Track 1, Soccer Fields 3-5, and Ballfields 1-4 Reconstruction",1082.0,0.0,2021-07-01T00:00:00.000,-10555000.0,974,2023-01-03T00:00:00.000,Parks,Construction
Bronx,"Pelham Parkway Roadway Reconstruction, Phase 2",2869.0,239.0,2015-08-01T00:00:00.000,125164000.0,180,2018-01-09T00:00:00.000,Streets and Roadways,Design
Bronx,Replacement of The Digester at The Hunts Point WWTP,1355.0,-10.0,2018-03-01T00:00:00.000,72852004.14,580,2023-10-17T00:00:00.000,Wastewater Treatment,Design
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,105.0,2019-01-01T00:00:00.000,75370000.0,665,2023-10-15T00:00:00.000,Other Government Facilities,Design
Manhattan,Riverside Drive/West 158th Street Bridge Rehabilitation,2152.0,0.0,2020-05-01T00:00:00.000,96922794.0,113,2022-06-27T00:00:00.000,"Bridges, Streets and Roadways",Construction
Queens,TLC - NEW OFFICE FACILITY - 24-55 BQE WEST,1248.0,105.0,2019-05-01T00:00:00.000,75370000.0,665,2024-01-28T00:00:00.000,Other Government Facilities,Design
