UrbanZone,accessibility,schoolname,SanFacID,bldgcode,district,location
Brooklyn,Partially Accessible,P.S. 250 George H. Lindsay,14250,K250,District 14,108 MONTROSE AVENUE
Queens,Fully Accessible,Helen M. Marshall School,24330,Q287,District 24,110-08 NORTHERN BOULEVARD
Queens,No Accessibility,Corona Library,24731,,District 24,38-23 104TH ST.
Brooklyn,No Accessibility,Brooklyn Public Library - Paerdegat Library,22761,,District 22,850 East 59th Street
Bronx,Fully Accessible,P.S. 046 Edgar Allan Poe,10046,X046,District 10,279 EAST 196 STREET
Bronx,Fully Accessible,P.S. X037 - Multiple Intelligence School,10037,X037,District 10,360 WEST 230 STREET
Manhattan,No Accessibility,P.S. 161 Pedro Albizu Campos,5161,M161,District 5,499 WEST 133 STREET
Queens,No Accessibility,Glen Oaks Library,26713,,District 26,256-04 UNION TURNPIKE
Manhattan,Fully Accessible,P.S. 007 Samuel Stern,4007,M007,District 4,160 EAST 120 STREET
Bronx,Fully Accessible,P.S. 153 Helen Keller,11153,X153,District 11,650 BAYCHESTER AVENUE
Manhattan,Fully Accessible,P.S./I.S. 217 Roosevelt Island,2217,M271,District 2,645 MAIN STREET
Brooklyn,No Accessibility,P.S. 067 Charles A. Dorsey,13067,K067,District 13,51 SAINT EDWARDS STREET
Manhattan,No Accessibility,Jackie Robinson Pool,5728,,District 5,146th Street & Bradhurst Avenue
Queens,No Accessibility,Forest Hills Library,28722,,District 28,108-19 71ST AVE
Bronx,No Accessibility,The Walton Avenue School,9294,X064,District 9,1425 WALTON AVENUE
Queens,No Accessibility,Hunters Point Library,30729,,District 30,47-40 CENTER BLVD.
Queens,No Accessibility,Peninsula Library,27702,,District 27,92-25 ROCKAWAY BEACH BLVD
Queens,Partially Accessible,Thomas A. Edison Career and Technical Education High School,28541,Q620,District 28,165-65 84 AVENUE
Manhattan,No Accessibility,Marcus Garvey Pool,5734,,District 5,124th Street & 5th Avenue
Manhattan,Partially Accessible,P.S. 153 Adam Clayton Powell,6153,M153,District 6,1750 AMSTERDAM AVENUE
Manhattan,No Accessibility,NYCHA St. Nicholas,5754,,District 5,225 West 129
Queens,No Accessibility,South Ozone Park Library,27714,,District 27,128-16 Rockaway Blvd
Manhattan,No Accessibility,P.S. 112 Jose Celso Barbosa,4112,M112,District 4,535 EAST 119 STREET
Bronx,Partially Accessible,I.S. 584,7284,X162,District 7,600 SAINT ANN'S AVENUE
Brooklyn,Fully Accessible,P.S. 244 Richard R. Green,18244,K244,District 18,5404 TILDEN AVENUE
Queens,No Accessibility,QPL-Rego Park Library,28718,,District 28,"91-41 63RD DRIVE REGO PARK, NY 1"
Queens,Fully Accessible,P.S. 254 - The Rosa Parks School,27254,Q254,District 27,84-40 101 STREET
Brooklyn,No Accessibility,Brooklyn Public Library - Kensington Library,22755,,District 22,4207 18th Avenue
Brooklyn,Fully Accessible,P.S. 217 Colonel David Marcus School,22217,K217,District 22,1100 Newkirk Avenue
Brooklyn,No Accessibility,Brooklyn Public Library - Coney Island Library,21796,,District 21,1901 Mermaid Avenue
Queens,Fully Accessible,I.S. 250 The Robert F. Kennedy Community Middle School,25250,Q168,District 25,158-40 76 ROAD
Manhattan,Partially Accessible,"High School for Law, Advocacy and Community Justice",3592,M490,District 3,122 AMSTERDAM AVENUE
Brooklyn,No Accessibility,P.S. 105 The Blythebourne,20105,K105,District 20,1031 59 STREET
Brooklyn,No Accessibility,Howard Pool,23721,,District 23,Glenmore/Mother Gaston Blvd/E.N.Y.
Queens,Fully Accessible,P.S. 020 John Bowne,25020,Q020,District 25,142-30 BARCLAY AVENUE
Brooklyn,Partially Accessible,P.S. 298 Dr. Betty Shabazz,23298,K298,District 23,85 WATKINS STREET
Bronx,No Accessibility,Van Cortlandt Pool,10721,,District 10,West 242 Street and Broadway
Manhattan,Partially Accessible,P.S. 036 Margaret Douglas,5036,M036,District 5,123 Morningside Drive
Queens,No Accessibility,Central Library,28776,,District 28,89-11 MERRICK BLVD
Brooklyn,No Accessibility,J.H.S. 292 Margaret S. Douglas,19292,K292,District 19,301 VERMONT STREET
Queens,No Accessibility,Pomonok Library,25701,,District 25,158-21 JEWEL AVE
Bronx,Fully Accessible,P.S. 214,12214,X167,District 12,1970 WEST FARMS ROAD
Brooklyn,Fully Accessible,P.S./I.S. 30 Mary White Ovington,20030,K331,District 20,7002 4TH AVENUE
Brooklyn,Partially Accessible,I.S. 281 Joseph B Cavallaro,21281,K281,District 21,8787 24 AVENUE
Bronx,No Accessibility,P.S. 021 Philip H. Sheridan,11021,X021,District 11,715 EAST 225 STREET
Brooklyn,Partially Accessible,New Heights Middle School,17822,K391,District 17,790 EAST NEW YORK AVENUE
Brooklyn,No Accessibility,"The Middle School of Media, Law and Fine Arts",18281,K232,District 18,905 WINTHROP STREET
Queens,No Accessibility,Long Island City Library,30728,,District 30,3744 21ST STREET
Staten Island,Partially Accessible,I.S. R002 George L. Egbert,31002,R002,District 31,333 Midland Avenue
Queens,Fully Accessible,Maspeth High School,24585,Q585,District 24,54-40 74TH STREET
Queens,No Accessibility,Cambria Heights Library,29796,,District 29,218-13 LINDEN BLVD
Brooklyn,Fully Accessible,P.S. 156 Waverly,23156,K356,District 23,104 SUTTER AVENUE
Queens,Partially Accessible,P.S. 139 Rego Park,28139,Q139,District 28,93-06 63 DRIVE
Brooklyn,Partially Accessible,I.S. 228 David A. Boody,21228,K228,District 21,228 AVENUE S
Bronx,No Accessibility,The Dr. Emmett W. Bassett School,8119,X119,District 8,1075 PUGSLEY AVENUE
Bronx,No Accessibility,NYCHA Clay Avenue (Claremont 2)  Resident Association.,9740,,District 9,1195 Clay Avenue
Brooklyn,No Accessibility,Red Hook Pool,15725,,District 15,Bay Street Btw Clinton & Henry
Bronx,No Accessibility,Mapes Pool,12706,,District 12,180th Street and Prospect Avenue
Brooklyn,No Accessibility,P.S. 191 Paul Robeson,17191,K191,District 17,1600 PARK PLACE
Manhattan,Partially Accessible,P.S. 146 Ann M. Short,4146,M146,District 4,421 EAST 106 STREET
Manhattan,Partially Accessible,P.S. 149 Sojourner Truth,3207,M207,District 3,41 West 117 Street
Queens,No Accessibility,Maspeth Library,24723,,District 24,6970 GRAND AVE
Brooklyn,No Accessibility,NYCHA Breukelen Resident Association,19704,,District 19,254 Stanley Ave Apt 1D
Queens,Fully Accessible,P.S. 212,30212,Q212,District 30,34-25 82 STREET
Brooklyn,Fully Accessible,Leadership Prep Bedford Stuyvesant Charter School,13801,K258,District 13,141 MACON STREET
Brooklyn,Fully Accessible,J.H.S. 088 Peter Rouget,15088,K088,District 15,544 7TH AVENUE
Bronx,Fully Accessible,P.S. 106 Parkchester,11106,X106,District 11,1514 OLMSTEAD AVENUE
Queens,No Accessibility,William Cullen Bryant High School,30533,Q445,District 30,48-10 31 AVENUE
Queens,Partially Accessible,P.S./ M.S.138 Sunrise,29138,Q138,District 29,251-11 WELLER AVENUE
Brooklyn,Fully Accessible,Medgar Evers College Preparatory School,17538,K590,District 17,1186 Carroll Street
Queens,No Accessibility,QPL - Glendale Library,24746,,District 24,78-60 73 PLACE
Brooklyn,Fully Accessible,P.S. 66,18066,K066,District 18,845 EAST  96 STREET
Queens,Partially Accessible,P.S. 076 William Hallet,30076,Q076,District 30,36-36 10 Street
Queens,No Accessibility,Rochdale Village Library,28741,,District 28,169-09 137TH AVENUE
Brooklyn,No Accessibility,NYCHA Red Hook West Resident Association,15703,,District 15,428 Columbia St  Room1C
Bronx,No Accessibility,P.S. 070 Max Schoenfeld,9070,X070,District 9,1691 WEEKS AVENUE
Brooklyn,Partially Accessible,P.S. 013 Roberto Clemente,19013,K013,District 19,557 PENNSYLVANIA AVENUE
Bronx,Fully Accessible,P.S. 211,12211,X193,District 12,1919 PROSPECT AVENUE
Manhattan,Fully Accessible,P.S. 130 Hernando De Soto,2130,M130,District 2,143 BAXTER STREET
Brooklyn,No Accessibility,P.S. 288 The Shirley Tanyhill,21288,K288,District 21,2950 WEST  25 STREET
Manhattan,No Accessibility,P.S. 198 Isador E. Ida Straus,2198,M198,District 2,1700 3 AVENUE
Queens,Fully Accessible,P.S. 091 Richard Arkwright,24091,Q091,District 24,68-10 CENTRAL AVE
Brooklyn,No Accessibility,J.H.S. 278 Marine Park,22278,K278,District 22,1925 STUART STREET
Bronx,No Accessibility,Mott Haven Village Preparatory High School,7530,X470,District 7,701 ST. ANNS AVENUE
Queens,No Accessibility,Flushing Library,25717,,District 25,41-17 MAIN STREET
Bronx,No Accessibility,P.S. 001 Courtlandt School,7001,X001,District 7,335 EAST 152 STREET
Queens,Partially Accessible,M.S. 158 Marie Curie,26158,Q158,District 26,46-35 Oceania Street
Staten Island,No Accessibility,I.S. 49 Berta A. Dreyfus,31049,R049,District 31,101 WARREN STREET
Bronx,Fully Accessible,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,9218,X235,District 9,1220 GERARD AVENUE
Bronx,Fully Accessible,P.S. 023 The New Children's School,10023,X023,District 10,2151 WASHINGTON AVENUE
Queens,Fully Accessible,P.S. 011 Kathryn Phelan,30011,Q011,District 30,54-25 SKILLMAN AVENUE
Bronx,Partially Accessible,Bronx Academy for Multi-Media,8624,X074,District 8,730 BRYANT AVENUE
Manhattan,No Accessibility,P.S. 155 William Paca,4155,M155,District 4,319 EAST 117 STREET
Bronx,Fully Accessible,P.S. 095 Sheila Mencher,10095,X095,District 10,3961 HILLMAN AVENUE
Manhattan,Fully Accessible,Community Health Academy of the Heights,6646,M814,District 6,504 WEST 158TH STREET
Brooklyn,No Accessibility,P.S. 309 The George E. Wibecan Preparatory Academy,16309,K309,District 16,794 MONROE STREET
Bronx,No Accessibility,P.S. 134 George F. Bristow,12134,X134,District 12,1330 BRISTOW STREET
Manhattan,No Accessibility,Vesuvio Pool,2797,,District 2,Thompson St. & South of Prince Stree
Queens,Fully Accessible,P.S. 014 Fairview,24014,Q014,District 24,107-01 OTIS AVENUE
Bronx,Partially Accessible,M.S. 302 Luisa Dessus Cruz,8052,X052,District 8,681 Kelly Street
Bronx,No Accessibility,I.S. 219 New Venture School,9219,X148,District 9,3630 THIRD AVENUE
Brooklyn,Fully Accessible,Brooklyn Arts and Science Elementary School,17805,K022,District 17,443 ST MARKS AVENUE
Brooklyn,Partially Accessible,P.S. 233 Langston Hughes,18233,K233,District 18,9301 AVENUE B
Brooklyn,No Accessibility,BPL - Highlawn Library,21716,,District 21,1664 West 13th Street
Bronx,Partially Accessible,School of Performing Arts,12116,X116,District 12,977 FOX STREET
Brooklyn,No Accessibility,P.S. 169 Sunset Park,15169,K169,District 15,4305 7 AVENUE
Queens,No Accessibility,023 QPL - Sunnyside Library,24724,,District 24,43-06 GREENPOINT AVE.
Brooklyn,No Accessibility,Douglas and DeGraw Pool,15734,,District 15,230 Douglas Street
Brooklyn,No Accessibility,Brooklyn Public Library - Stone Avenue Library,23722,,District 23,581 Mother Gaston Boulevard
Bronx,Fully Accessible,P.S. 097 Bronx,11097,X097,District 11,1375 Mace Avenue
Queens,No Accessibility,Fresh Meadows Library,26717,,District 26,193-20 HORACE HARDING EXPRESSWAY
Brooklyn,No Accessibility,P.S. 001 The Bergen,15001,K001,District 15,309 47 STREET
