zip,bldgcode,sfcode,koshermealtype,latitude,longitude,siteaddress,city,district
11206,K250,14250,non-kosher,40.706708,-73.945659,108 MONTROSE AVENUE,Brooklyn,14
11368,Q287,24330,non-kosher,40.757888,-73.859202,110-08 NORTHERN BOULEVARD,Queens,24
11368,,24731,non-kosher,40.750871,-73.862204,38-23 104TH ST.,Queens,24
11234,,22761,non-kosher,40.632546,-73.919672,850 East 59th Street,Brooklyn,22
10458,X046,10046,non-kosher,40.867169,-73.890402,279 EAST 196 STREET,Bronx,10
10463,X037,10037,non-kosher,40.877935,-73.913694,360 WEST 230 STREET,Bronx,10
10027,M161,5161,non-kosher,40.817719,-73.952476,499 WEST 133 STREET,Manhattan,5
11355,,26713,non-kosher,,,256-04 UNION TURNPIKE,Queens,26
10035,M007,4007,non-kosher,40.800616,-73.939374,160 EAST 120 STREET,Manhattan,4
10475,X153,11153,non-kosher,40.874035,-73.831669,650 BAYCHESTER AVENUE,Bronx,11
10044,M271,2217,non-kosher,40.753598,-73.956435,645 MAIN STREET,Manhattan,2
11205,K067,13067,non-kosher,40.695339,-73.977674,51 SAINT EDWARDS STREET,Brooklyn,13
10030,,5728,non-kosher,40.82391,-73.942428,146th Street & Bradhurst Avenue,Manhattan,5
11375,,28722,non-kosher,40.684301,-73.777422,108-19 71ST AVE,Queens,28
10452,X064,9294,non-kosher,40.8404,-73.915879,1425 WALTON AVENUE,Bronx,9
11109,,30729,non-kosher,40.756072,-73.925767,47-40 CENTER BLVD.,Queens,30
11693,,27702,non-kosher,40.685066,-73.792985,92-25 ROCKAWAY BEACH BLVD,Queens,27
11432,Q620,28541,non-kosher,40.716071,-73.799692,165-65 84 AVENUE,Queens,28
10027,,5734,non-kosher,40.805743,-73.942754,124th Street & 5th Avenue,Manhattan,5
10031,M153,6153,non-kosher,40.826514,-73.947599,1750 AMSTERDAM AVENUE,Manhattan,6
10027,,5754,non-kosher,40.813609,-73.947653,225 West 129,Manhattan,5
11354,,27714,non-kosher,40.675084,-73.809585,128-16 Rockaway Blvd,Queens,27
10035,M112,4112,non-kosher,40.796889,-73.930528,535 EAST 119 STREET,Manhattan,4
10455,X162,7284,non-kosher,,,600 SAINT ANN'S AVENUE,Bronx,7
11203,K244,18244,non-kosher,40.647851,-73.925592,5404 TILDEN AVENUE,Brooklyn,18
11375,,28718,non-kosher,40.673783,-73.775875,"91-41 63RD DRIVE REGO PARK, NY 1",Queens,28
11418,Q254,27254,non-kosher,40.6972,-73.847886,84-40 101 STREET,Queens,27
11218,,22755,non-kosher,40.631493,-73.97557,4207 18th Avenue,Brooklyn,22
11230,K217,22217,non-kosher,40.633482,-73.966442,1100 Newkirk Avenue,Brooklyn,22
11224,,21796,non-kosher,40.576502,-73.985993,1901 Mermaid Avenue,Brooklyn,21
11366,Q168,25250,non-kosher,40.724195,-73.80938,158-40 76 ROAD,Queens,25
10023,M490,3592,non-kosher,40.774891,-73.985608,122 AMSTERDAM AVENUE,Manhattan,3
11219,K105,20105,non-kosher,40.63332,-74.003635,1031 59 STREET,Brooklyn,20
11212,,23721,non-kosher,40.671506,-73.907335,Glenmore/Mother Gaston Blvd/E.N.Y.,Brooklyn,23
