ID,Title,Year,Rating,Director,Creators,Cast,Genre,Duration,ContentRating,Summary
b-1,12 Rounds 3: Lockdown,9/11/2015,N,Stephen Reynolds,Nathan Brookes^Bobby Lee Darby,Dean Ambrose^Roger R. Cross^Daniel Cudmore^Lochlyn Munro,Action & Adventure,1 hr. 30 min.,R,Detective Shaw returns to active duty after the death of his partner. When he uncovers evidence linking his fellow officers to a murder they frame him for a homicide he didn't commit. Trapped in his own precinct Shaw will do whatever it takes to expose the dirty cops and clear his name. With twelve rounds in the clip and one shot at redemption nothing will stand in Shaw's way in this action-packed thriller.
b-2,21 Jump Street,3/16/2012,7.2,Chris Miller,Patrick Hasburgh^Stephen J. Cannell^Michael Bacall^Jonah Hill,Jonah Hill^Channing Tatum^Brie Larson^Dave Franco,Action & Adventure^Comedy,1 hr. 49 min.,R,earlier - and neither expects that they will have to confront the terror and anxiety of being a teenager again and all the issues they thought they had left behind. -- (C) Sony Pictures
b-3,28 Hotel Rooms,11/9/2012,6.2,Matt Ross,Matt Ross,Marin Ireland^Chris Messina^Martin Ireland,Drama^Romance,1 hr. 22 min.,Unrated,Unfolding as a collage of moments-some sexy some innocent some profound some silly-28 HOTEL ROOMS is an intimate portrait of an affair in which two people wrestle with the intoxication of sex and the confusion of loving more than one person.(c) Oscilloscope
b-4,3 2 1... Frankie Go Boom,10/12/2012,5,Jordan Roberts,Jordan Roberts,Charlie Hunnam^Chris O'Dowd^Lizzy Caplan^Whitney Cummings,Drama^Comedy,1 hr. 29 min.,PG-13,Two brothers (Charlie Hunnam and Chris O'Dowd) seek the help of a transgendered hacker (Ron Perlman) in erasing all evidence of a sex tape from the internet before the unhinged movie star father (Chris Noth) of the girl involved (Lizzy Caplan) seeks violent revenge. Whitney Cummings and Nora Dunn co-star. ~ Jason Buchanan Rovi
b-5,40 Days And Nights,NULL,NULL,Peter Geiger,Rob Perez^H. Perry Horton,Monica Keena^Alex Carter^Christianna Carmine^Emily Sandifer,Mystery & Suspense^Action & Adventure,1 hr. 30 min.,Unrated,As an apocalyptic storm spreads plunges the planet into chaos the public clamors for a coveted spot on a massive military ark and a devoted microbiologist attempts to salvage the DNA of species that are doomed to extinction. ~ Jason Buchanan Rovi
b-6,The ABCs of Death,3/8/2013,4.8,Christopher Smith,Simon Rumley^Dimitrije Vojnov,Ingrid Bolso Berdal^Neil Maskell^Kyra Zagorsky^Michael Smiley,Mystery & Suspense^Horror,2 hr. 9 min.,R,in choosing a word to create a story involving death. Provocative shocking funny and ultimately confrontational THE ABC's OF DEATH is the definitive vision of modern horror diversity. (c) Magnolia
b-7,About Cherry,9/21/2012,4,Stephen Elliott,Stephen Elliott^Lorelei Lee,Ashley Hinshaw^Lili Taylor^Dev Patel^Heather Graham,Drama,1 hr. 42 min.,R,Angelina meets Frances (James Franco) a well-off lawyer who offers to introduce her to a different kind of world a place full of expensive dresses and fancy parties. But that world is not as perfect as it first appears and Frances has problems of his own. At the same time Angelina using the moniker Cherry has begun exploring the San Francisco porn industry under the direction of Margaret (Heather Graham) a former performer turned adult film director. -- (C) Official Site
b-8,Abraham Lincoln Vs. Zombies,NULL,N,Richard Schenkman,NULL,Bill Oberst Jr.^Jason Vail^Baby Norman^Don McGraw,Action & Adventure^Horror^Comedy,1 hr. 31 min.,R,As Confederate soldiers begin returning from the grave and feasting on human flesh only President Abraham Lincoln can defeat the growing army of the undead while ending the bloody war that pitted brother-against-brother on their own back yards.
b-9,Abraham Lincoln: Vampire Hunter,6/22/2012,4.9,Timur Bekmambetov,Simon Kinberg^Seth Grahame-Smith,Benjamin Walker^Dominic Cooper^Anthony Mackie^Mary Elizabeth Winst...,Action & Adventure^Horror^Mystery & Suspense^Science Fiction & Fantasy,1 hr. 45 min.,R,Visionary filmmakers Tim Burton and Timur Bekmambetov reinvent the time-honored genre and present the terrifying creatures of the night as they were meant to be experienced -- as fierce visceral intense and bloodthristy. Abraham Lincoln: Vampire Hunter brings to the screen the secret life of our nation's favorite president...as history's greatest hunter of the undead. -- (C) Official Site
b-10,Act of Valor,2/24/2012,4.5,Mike McCoy,Kurt Johnstad,Roselyn Sanchez^Jason Cottle^Alex Veadov^Nestor Serrano,Mystery & Suspense^Action & Adventure,1 hr. 41 min.,R,highly trained Navy SEALs must immediately embark on a heart-stopping secret operation the outcome of which will determine the fate of us all. Act of Valor combines stunning combat sequences up-to-the-minute battlefield technology and heart-pumping emotion for the ultimate action adventure film-showcasing the skills training and tenacity of the greatest action heroes of them all: real Navy SEALs. -- (C) Relativity
