ID,Title,Year,Rating,Director,Creators,Cast,Genre,Duration,ContentRating,Summary
a-1,12 12 12,2014-03-06,2.3,Massimo Morini,Enrica Guidotti^Beppe Mecconi,Davide Ageno^Mariangela Argentino^Franco Bampi,Sci-Fi,NULL,NULL,In the little town of Bogliasco in Italy there is a political conspiracy. Max tries to discover the truth which will be frightening.
a-2,2-Headed Shark Attack,2012-01-17,2.5,Christopher Ray,Edward DeRuiter^H. Perry Horton,Carmen Electra^Charlie O'Connell^Brooke Hogan,Action^Horror^Sci-Fi,88 min,R,Terror takes a ghastly form when a gigantic two-headed shark sinks a ship full of students and the survivors wash up on a tiny atoll. But just when the kids think they're safe a tsunami sweeps them back into the deep to face the twin jaws anew.
a-3,21 Jump Street,2012-03-16,7.2,Phil Lord,Michael Bacall^Michael Bacall,Jonah Hill^Channing Tatum^Ice Cube,Action^Comedy^Crime,109 min,R,In high school Schmidt (Jonah Hill) was a dork and Jenko (Channing Tatum) was the popular jock. After graduation both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.
a-4,28 Hotel Rooms,2012-11-09,5.7,Matt Ross,Matt Ross,Marin Ireland^Chris Messina^Robert Deamer,Drama,82 min,NOT RATED,A novelist and an accountant meet while they are traveling for work and though they both are in relationships their one-night stand could become something more.
a-5,3 2 1... Frankie Go Boom,2012-03-10,5.9,Jordan Roberts,Jordan Roberts,Charlie Hunnam^Chris O'Dowd^Lizzy Caplan,Comedy,89 min,NOT RATED,Frank Bartlett has been tortured embarrassed and humiliated by his brother Bruce -- usually on film -- his entire life. Now that Bruce is finally off drugs and has turned his life around things should be different. They are not.
a-6,The ABCs of Death,2013-04-26,4.7,Kaare Andrews,Ant Timpson^Nacho Vigalondo,Ingrid BolsÃ¸ Berdal^IvÃ¡n GonzÃ¡lez^Kyra Zagorsky,Comedy^Horror,129 min,NOT RATED,The ABC's OF DEATH is an ambitious anthology film featuring segments directed by over two dozen of the world's leading talents in contemporary genre film. Inspired by children's educational ABC books the motion picture is comprised of 26 individual chapters each helmed by a different director assigned a letter of the alphabet. The directors were then given free reign in choosing a word to create a story involving death. Provocative shocking funny and ultimately confrontational; THE ABC's OF DEATH is the definitive snapshot of the diversity of modern horror. Drafthouse Films Magnet Pictures and Timpson Films are proud to present this alphabetical arsenal of destruction orchestrated by what Fangoria calls "a stunning roll call of some of the most exciting names in horror across the world."
a-7,About Cherry,2012-08-09,4.8,Stephen Elliott,Stephen Elliott^Lorelei Lee,Ashley Hinshaw^James Franco^Heather Graham,Drama,98 min,R,The eighteen year-old Angeline raises money with a session of naked pictures and leaves her alcoholic and dysfunctional parents fleeing to San Francisco with her friend Andrew. They rent a room in the apartment of the gay Paco and Angeline finds a job in a strip club and Andrew in a bookstore. Soon Angeline has a love affair with the drug-addicted lawyer Frances and joins the adult industry making porn. Meanwhile the lesbian director Margaret becomes obsessed on her.
a-8,Abraham Lincoln vs. Zombies,2012-05-29,3.1,Richard Schenkman,Karl T. Hirsch^J. Lauren Proctor,Bill Oberst Jr.^Kent Igleheart^Rhianna Van Helton,Action^Comedy^Horror,96 min,R,As Abraham Lincoln labors over the Gettysburg address the importance of which he is fully aware he learns that a menace from his past has returned threatening to tear the already fractured nation to pieces. He must journey behind enemy lines to face an foe far more fearsome than the Confederate army: the walking dead.
a-9,Act of Valor,2012-02-24,6.5,Mike McCoy,Kurt Johnstad,Alex Veadov^Roselyn Sanchez^Nestor Serrano,Action^Thriller^War,110 min,R,An unprecedented blend of real-life heroism and original filmmaking Act of Valor stars a group of active-duty Navy SEALs in a powerful story of contemporary global anti-terrorism. Inspired by true events the film combines stunning combat sequences up-to-the minute battlefield technology and heart-pumping emotion for the ultimate action adventure. Act of Valor takes audiences deep into the secretive world of the most elite highly trained group of warriors in the modern world. When the rescue of a kidnapped CIA operative leads to the discovery of a deadly terrorist plot against the U.S. a team of SEALs is dispatched on a worldwide manhunt. As the valiant men of Bandito Platoon race to stop a coordinated attack that could kill and wound thousands of American civilians they must balance their commitment to country team and their families back home. Each time they accomplish their mission a new piece of intelligence reveals another shocking twist to the deadly terror plot which ...
a-10,After,2012-09-14,5.4,Ryan Smith,Jason Parish^Ryan Smith,Steven Strait^Karolina Wydra^Madison Lintz,Mystery^Thriller,90 min,PG-13,When two bus crash survivors awake to discover that they are the only people left in their small town they must form an unlikely alliance in a race to unravel the truth behind their isolation. As strange events begin to unfold they start to question whether the town they know so well is really what it seems.
