#key=_id
#ltable=POINTER
#rtable=POINTER
#foreign_key_ltable=ltable.ID
#foreign_key_rtable=rtable.ID
_id,ltable.ID,rtable.ID,ltable.Director,ltable.Title,ltable.Year,rtable.Director,rtable.Title,rtable.Year,gold
0,3,1105,Phil Lord,21 Jump Street,3/16/2012,Jon Gunn,Mercy Streets,10/31/2000,0
1,22,24,Nicholas Jarecki,Arbitrage,9/14/2012,Nicholas Jarecki,Arbitrage,9/14/2012,1
2,66,67,Justin Chambers,Broken Roads,11/8/2012,Justin Chambers,Broken Roads,12/14/2012,1
3,73,73,Katherine Fairfax Wright,Call Me Kuchu,6/14/2013,Katherine Fairfax Wright,Call Me Kuchu,6/14/2013,1
4,78,78,Ken Burns,The Central Park Five,11/23/2012,Ken Burns,The Central Park Five,11/23/2012,1
5,99,1728,Steve Rash,Crooked Arrows,5/18/2012,Steve Carr,Rebound,7/1/2005,0
6,117,2424,Larry Charles,The Dictator,5/16/2012,Barry Battles,The Baytown Outlaws,1/11/2013,0
7,121,119,Attila Luca,Dracula Reborn,5/18/2015,Attila Luca,Dracula Reborn,,1
8,122,120,John Hyams,Dragon Eyes,10/9/2014,John Hyams (II),Dragon Eyes,5/11/2012,1
9,140,2635,Edward Burns,The Fitzgerald Family Christmas,12/7/2012,,Plus One - The Home Video,,0
10,167,165,Gary Ross,The Hunger Games,3/23/2012,Gary Ross,The Hunger Games,3/23/2012,1
11,186,184,Julia Loktev,The Loneliest Planet,1/3/2013,Julia Loktev,The Loneliest Planet,10/26/2012,1
12,195,36,RZA,The Man with the Iron Fists,11/2/2012,,Barbie In A Mermaid Tale 2,2/4/2012,0
13,208,203,Lee Daniels,The Paperboy,10/17/2012,Lee Daniels,The Paperboy,10/5/2012,1
14,212,228,Jonathan Demme,Philadelphia,1/14/1994,Jonathan Dayton,Ruby Sparks,7/25/2012,0
15,219,213,Nima Nourizadeh,Project X,3/2/2012,Jonathan Kaplan,Project X,3/2/2012,1
16,232,2635,Boaz Yakin,Safe,4/27/2012,,Plus One - The Home Video,,0
17,237,145,Lorene Scafaria,Seeking a Friend for the End of the World,6/22/2012,Jennifer Westfeldt,Friends With Kids,3/9/2012,0
18,242,238,David O. Russell,Silver Linings Playbook,12/25/2012,David O. Russell,Silver Linings Playbook,11/21/2012,1
19,281,275,Tim Burton,Alice in Wonderland,3/5/2010,Tim Burton,Alice in Wonderland,3/5/2010,1
20,283,277,Anthony Bell,Alpha and Omega,9/17/2010,Anthony Bell,Alpha and Omega,9/17/2010,1
21,301,2511,Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader,12/10/2010,Roman Coppola,A Glimpse Inside the Mind of Charles Swan III,2/8/2013,0
22,307,297,Kevin Smith,Cop Out,2/26/2010,Kevin Smith,Cop Out,2/26/2010,1
23,313,2508,Shawn Levy,Date Night,4/9/2010,Yaron Levy,Getaway,8/30/2013,0
24,314,1623,Michael Spierig,Daybreakers,1/8/2010,Michael Bigelow,Deuce Bigalow: European Gigolo,8/12/2005,0
25,315,36,Lasse Hallstr̦m,Dear John,2/5/2010,,Barbie In A Mermaid Tale 2,2/4/2012,0
26,326,315,Martin Campbell,Edge of Darkness,1/29/2010,Martin Campbell,Edge of Darkness,1/29/2010,1
27,333,322,Rob Reiner,Flipped,9/10/2010,Rob Reiner,Flipped,8/6/2010,1
28,334,323,Tyler Perry,For Colored Girls,11/5/2010,Tyler Perry,For Colored Girls,11/5/2010,1
