route_type,cco_st,streetwidt,roadway_typ,edit_date,STAIR_ST,st,marg_wharf,feat_type_id,record_st,street_nm,build_stat,borough
Gen_use,,60,Surface St,,,,No,1,,62 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,West 45 Street,Improved,Manhattan
Gen_use,,70,Surface St,,,,,1,,Bard Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,71 Street,Improved,Brooklyn
Other,,,Surface St,,,,,0,,Yacht Club Cove,Improved,Staten Island
Mjr_st,,84,Surface St,,,,,1,,Flatbush Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,53 Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East 52 Street,Improved,Manhattan
Gen_use,,80,Surface St,,,,,1,,17 Avenue,Improved,Brooklyn
Artrl,,>300,Surface St,,,,,1,,Belt Parkway,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,72 Drive,Improved,Queens
Artrl,,110,Surface St,,,,,1,,Cross Bay Boulevard,Improved,Queens
Gen_use,,70,Surface St,,,,,1,,Grand Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Laguardia Avenue,Improved,Staten Island
Gen_use,,70,Surface St,,,,,1,,Marcy Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,No,1,,220 Street,Improved,Queens
Artrl,,"Irregular, >98",Surface St,,,,,1,,Major Deegan Expressway,Improved,Bronx
Gen_use,,110,Surface St,,,,,1,,Highland Boulevard,Improved,Brooklyn
Mjr_st,,120,Surface St,,,,,1,,Neptune Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Sycamore Street,Improved,Staten Island
Other,,,Surface St,,,,,0,,Green Tree Lane,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,26 Avenue,Improved,Queens
Gen_use,,70,Surface St,,,,,1,,Grandview Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,West 130 Street,Improved,Manhattan
Gen_use,,60,Surface St,,,,,1,,West 12 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,West 4 Street,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Tilden Avenue,Improved,Brooklyn
Gen_use,,70,Surface St,,,,,1,,Central Avenue,Improved,Brooklyn
Gen_use,,80,Surface St,,,,,1,,Highlawn Avenue,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Ridge Place,Improved,Bronx
Other,,,Surface St,,N,,N,0,True,Gasper Avenue,Unimproved,Staten Island
Gen_use,,Unknown but <75,Surface St,,,,,1,,Sullivan Street,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Bovanizer Street,Improved,Staten Island
Gen_use,,80,Surface St,,,,,1,,27 Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Monahan Avenue,Improved,Staten Island
Gen_use,,80,Surface St,,,,No,1,,82 Avenue,Improved,Queens
Gen_use,,50,Surface St,,N,,N,1,,181 Place,Unimproved,Queens
Mjr_st,,100,Surface St,,,,,1,,2 Avenue,Improved,Manhattan
Gen_use,,50,Surface St,,,,,1,,Colony Avenue,Improved,Staten Island
Gen_use,,40,Surface St,,,,,1,,Morris Street,Improved,Staten Island
Mjr_st,,80,Surface St,,,,,1,,Richmond Road,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Manhattan Avenue,Improved,Brooklyn
Other,,,Surface St,,N,,N,0,,Ostrich Court,Improved,Staten Island
Gen_use,,60,Surface St,,,,No,1,,271 Street,Improved,Queens
Gen_use,,100,Surface St,,,,,1,,156 Avenue,Part_improved,Queens
Gen_use,,50,Surface St,,,,,1,,Caroll Street,Improved,Bronx
Gen_use,,80,Surface St,,,,,1,,25 Avenue,Part_improved,Queens
Gen_use,,60,Surface St,,,,,1,,Bradford Street,Improved,Brooklyn
Mjr_st,,80,Surface St,,,,No,1,,154 Street,Improved,Queens
Mjr_st,,100,Surface St,,,,No,1,,21 Street,Improved,Queens
Mjr_st,,100,Surface St,,,,,1,,2 Avenue,Improved,Manhattan
Gen_use,,50,Surface St,,,,No,1,,86 Road,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Craig Avenue,Improved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Remsen Avenue,Improved,Brooklyn
Gen_use,,50,Surface St,,,,,1,,Eltinge Street,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Crowell Avenue,Improved,Staten Island
Gen_use,,50,Surface St,,,,,1,,Parsifal Place,Unimproved,Bronx
Gen_use,,50,Surface St,,,,No,1,,Falcon Avenue,Improved,Queens
Other,N,,Surface St,,N,,N,0,,Oak Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,No,1,,234 Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,Devoe Avenue,Improved,Bronx
Gen_use,,60,Surface St,,,,,1,,8 Street,Improved,Brooklyn
Mjr_st,,100,Surface St,,,,,1,,Flatbush Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,East 96 Street,Improved,Brooklyn
Gen_use,,75,Surface St,,,,,1,,Maple Parkway,Improved,Staten Island
Mjr_st,,100,Surface St,,,,,1,,Woodrow Road,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,47 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Perry Avenue,Improved,Bronx
Gen_use,,80,Surface St,,,,,1,,2 Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,East 29 Street,Improved,Brooklyn
Gen_use,,120,Surface St,,,,,1,,Clinton Avenue,Improved,Brooklyn
Other,,,Surface St,,N,,N,0,,Uss Tennessee Road,Improved,Staten Island
Gen_use,,Unknown,Surface St,,,,,1,,Call Street,Unimproved,Staten Island
Gen_use,N,60,Surface St,,N,,N,1,,180 Street,Improved,Queens
Gen_use,,80,Surface St,,,,,1,,Decker Avenue,Improved,Staten Island
Mjr_st,,120,Surface St,,,,,1,,Cropsey Avenue,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,East 100 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,95 Street,Improved,Queens
Mjr_st,,100,Surface St,,,,,1,,Forest Avenue,Improved,Staten Island
Gen_use,,60,Surface St,,N,,N,1,,St. Cloud Road,Unimproved,Queens
Gen_use,,50,Surface St,,,,No,1,,Gladwin Avenue,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,George Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,Gale Avenue,Improved,Queens
Gen_use,,50,Surface St,,,,No,1,,220 Street,Improved,Queens
Gen_use,,60,Surface St,,,,No,1,,Remington Street,Improved,Queens
Gen_use,,50,Surface St,,,,,1,,Ridge Court,Improved,Staten Island
Gen_use,,60,Surface St,,,,,1,,Schermerhorn Street,Improved,Brooklyn
Mjr_st,,80,Surface St,,,,No,1,,Ditmars Boulevard,Improved,Queens
Gen_use,,60,Surface St,,,,No,1,,214 Place,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East 96 Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,,1,,Cornelia Street,Improved,Brooklyn
Gen_use,,60,Surface St,,,,No,1,,Cornelia Street,Improved,Queens
Gen_use,,60,Surface St,,,,,1,,East 15 Street,Improved,Brooklyn
