ref_ezp_sec,ref_roro_sec,mgp_roro37_pri,org_bask,pap_ezp_sec,shape_length,mgp_curb_pri,mgp_curb_sec,pap_curb_pri,pap_roro_sec,district,org_curb_pri,ref_roro_pri,pap_roro_pri,districtcode,ref_ezp_pri,objectid
,,,,,35287.5716526556,Sims - Jersey,Sims - Bklyn,Visy 59th St.,,MN05,,,,105,,56
Review,,Sims - LIC,,Sims - LIC,139166.297580085,Sims - Bronx,Sims - LIC,Sims - Bronx,Sims - Bronx,QE07,American Recycling,Review,Sims - LIC,407,North Shore - MTS,2
,,,,,69460.6611871123,Sims - LIC,Sims - Bronx,Sims - LIC,,QE08,American Recycling,,,408,,53
,,,,,179644.131520566,Sims - Jersey,Sims - Bklyn,Visy SI,,SI03,,,,503,S.I.T.S.,52
,,,,,62155.4849343709,Sims - Jersey,Sims - Bklyn,Visy 59th St.,,MN01,,,,101,,19
,,,,,50763.0507178257,Sims - LIC,Sims - Bronx,Sims - LIC,,QW09,American Recycling,,,409,,15
,,,,,69086.7063077518,Sims - LIC,Sims - Bklyn,Sims - LIC,,BKN01,WM - Varick,,,301,,29
,,,Metropolitan Transfer Station,,50711.6179973132,Sims - Bronx,Sims - NJ,Visy 59th St.,,MN08,,,,108,Reworld – Essex,59
,,,,,37018.5089076273,Sims - LIC,Sims - Bronx,Sims - LIC,,QW04,WM - Varick,,,404,,37
,,,,Sims - LIC,35875.7098668,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX06,,,,206,WM-Harlem River,13
,,,,,36213.7011539382,Sims - LIC,Sims - Bklyn,Sims - LIC,,BKN03,WM - Varick,,,303,,22
,WM - Varick,,,,51566.6174118864,Sims - Bklyn,Sims - NJ,Visy SI,Sims - LIC,BKS11,WM - Varick,Southwest MTS,Sims - Bklyn,311,,28
,,,,,29962.7373800123,Sims - Bklyn,Sims - LIC,Visy SI,,BKN09,WM - Varick,,,309,,24
,,,,Sims - LIC,33327.9274479455,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX01,,,,201,WM-Harlem River,54
WM - Varick,,,,Sims - LIC,65744.9470366868,Sims - Bklyn,Sims - LIC,Visy SI,,BKS13,WM - Varick,,,313,Hamilton,57
,,,,,44770.2677261644,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX07,,,,207,,42
,,,,,105183.675342522,Sims - LIC,Sims - Bronx,Sims - LIC,,QE10,American Recycling,,,410,,11
,,,,,49291.7915131071,Sims - Bklyn,Sims - NJ,Visy SI,,BKS14,WM - Varick,,,314,,31
,,,,,97698.6444873169,Sims - Bronx,Sims - LIC,Sims - Bronx,,QE11,American Recycling,,,411,,58
,,,,,45740.5755855166,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX11,,,,211,,3
,,,,,42743.8055957317,Sims - LIC,Sims - Bronx,Sims - LIC,,QW06,WM - Varick,,,406,,43
Hamilton,,,,Sims - Bklyn,37008.0607397795,Sims - LIC,Sims - Bklyn,Sims - LIC,,BKN04,WM - Varick,,,304,WM - Varick,35
,,,,,41785.2161712463,Sims - LIC,Sims - Bronx,Sims - LIC,,QW03,WM - Varick,,,403,,6
,,,,,39863.562990284,Sims - Jersey,Sims - Bklyn,Visy 59th St.,,MN07,Metropolitan Transfer Station,,,107,,26
,,,,,62240.3230204072,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX09,,,,209,,48
,,,WM - Varick,,34894.0812518556,Sims - Jersey,Sims - Bklyn,Visy 59th St.,,MN02,,,,102,,39
,,,,,70038.3422015995,Sims - LIC,Sims - Bronx,Sims - LIC,,QW05,WM - Varick,,,405,,38
,,,,,56210.5641066989,Sims - Bronx,Sims - NJ,Visy 59th St.,,MN12,,,,112,,7
,,,,,33496.5275614337,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX03,,,,203,,4
,,,,,74172.5994267068,Sims - Bklyn,Sims - LIC,Sims - Bklyn,,BKN02,WM - Varick,,,302,,32
,,,,Sims - LIC,44793.5363815333,Sims - Bklyn,Sims - NJ,Visy SI,,BKS10,WM - Varick,,,310,Hamilton,20
,,Sims - Jersey,,,30452.376332722,Sims - Jersey,Sims - Bklyn,Visy 59th St.,Sims - Bronx,MN03,,Reworld – Essex,Visy 59th St,103,Reworld – Essex,40
,,,,,244592.555194749,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX10,,,,210,,47
,,,,,43342.1457121813,Sims - Bklyn,Sims - LIC,Visy SI,,BKN17,WM - Varick,,,317,,25
,,,,,31292.4240501983,Sims - Bronx,Sims - LIC,Sims - Bronx,,BX04,,,,204,,41
