gispropnum,regulation_soccer,t_ball,field_lighted,volleyball,wheelchairfootball,field_number,accessible,adult_football,borough,track_and_field,maintenanceagreement,the_geom,system,ll_baseb_13andolder,surface_type,lacrosse,precinct,ll_baseb_12andunder,cricket,flagfootball,councildistrict,hockey,stlength,pickleball
M111,False,False,False,False,False,04,False,False,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94169211423176, 40.79701572551593], [-73.94159058451363, 40.79697294629748], [-73.94152927669509, 40.79705543791576], [-73.94163278588617, 40.797098962002806], [-73.94169211423176, 40.79701572551593]]]]}",M111-BASKETBALL-4,False,Asphalt,False,23.0,False,False,False,8.0,False,133.90275729517788,
Q007,False,False,False,False,False,06,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.7673420537853, 40.59957380194953], [-73.76720882356783, 40.599515932739564], [-73.76714904200458, 40.599593707983956], [-73.76728360084529, 40.599652428248035], [-73.7673420537853, 40.59957380194953]]]]}",Q007-01-HANDBALL-6,False,Asphalt,False,101.0,False,False,False,31.0,False,151.40644395594,
Q121,False,False,False,False,False,01,False,False,Q,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78428958246948, 40.70337758817664], [-73.78435092613654, 40.70340500762007], [-73.78441698286258, 40.7034251092728], [-73.78448625725534, 40.70343743646764], [-73.78455717642818, 40.703441710697376], [-73.78462813614125, 40.70343783440338], [-73.78469752800541, 40.70342589552901], [-73.78476377735547, 40.70340616578948], [-73.78482225326579, 40.70338070411418], [-73.7848753778103, 40.70334917284623], [-73.78492207094399, 40.703312213842636], [-73.78496138480696, 40.70327057726992], [-73.78499545290515, 40.70321984469446], [-73.78501856667485, 40.703165655286334], [-73.78503014550259, 40.70310936774446], [-73.78502990087632, 40.703052394440505], [-73.78505848753352, 40.70304177402888], [-73.7844706003462, 40.70215308078201], [-73.78442918168462, 40.702103643312114], [-73.78437770908491, 40.70206001782475], [-73.78430484579235, 40.7020170789457], [-73.78422237592281, 40.701985782774635], [-73.7841334690397, 40.70196733291984], [-73.78404154004208, 40.701962438175336], [-73.78395012265304, 40.70197128526988], [-73.78386273099953, 40.70199353590672], [-73.78378272115621, 40.70202833460687], [-73.78371316916547, 40.70207434359815], [-73.78367351097832, 40.70211085067339], [-73.78364053690422, 40.702151025488185], [-73.78361482666833, 40.70219416313454], [-73.78359682882325, 40.70223950802844], [-73.78358686189576, 40.70228626471743], [-73.78358509777071, 40.702333613157954], [-73.78359156873633, 40.70238072493764], [-73.78360616153712, 40.70242677226929], [-73.78415509371337, 40.70326888620357], [-73.78419143627575, 40.70330819786741], [-73.78423434258806, 40.703343471309786], [-73.78428958246948, 40.70337758817664]], [[-73.78423539607438, 40.70324428161952], [-73.78371416680692, 40.702462715793615], [-73.78369123745311, 40.70242334993623], [-73.78367557278447, 40.70238197337096], [-73.78366746491498, 40.70233935839083], [-73.78366706507633, 40.70229629953549], [-73.78367591674198, 40.702251908196466], [-73.78369362002887, 40.70220907787403], [-73.78371975393789, 40.70216882355347], [-73.78375370006128, 40.702132101314355], [-73.78379465214026, 40.70209978043283], [-73.78384163977793, 40.70207262901916], [-73.78389354863309, 40.702051289742236], [-73.78394914648341, 40.702036269973675], [-73.78400711522761, 40.702027924738964], [-73.78406608047955, 40.7020264522709], [-73.7841246435342, 40.70203188776621], [-73.78418141568588, 40.702044101649], [-73.78423505015327, 40.7020628059341], [-73.78428427520566, 40.70208755518927], [-73.78432276452237, 40.702110864195504], [-73.78435678210705, 40.70213790104595], [-73.7843857118812, 40.702168176511485], [-73.7844090255273, 40.70220113849149], [-73.78492494524924, 40.702986854343045], [-73.78494242615831, 40.703023406468844], [-73.7849515014435, 40.70306168718409], [-73.78495190962644, 40.703100583867005], [-73.78494363894657, 40.70313896905163], [-73.78492692727022, 40.70317572924419], [-73.78468095048116, 40.70321333591172], [-73.78465806595052, 40.70318291514609], [-73.78460040720273, 40.7032052642887], [-73.78461967359979, 40.703235210928575], [-73.78443453542495, 40.703364435768144], [-73.78438695845306, 40.70334896046639], [-73.78434250391028, 40.70332881282275], [-73.78430195989442, 40.70330435002076], [-73.78426604562264, 40.70327600565949], [-73.78423539607438, 40.70324428161952]]]]}",Q121-TRACK-1,False,Rubber,False,103.0,False,False,False,27.0,False,2759.8913993157907,
B166D,False,False,False,False,False,02,False,False,B,False,True,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89870970539933, 40.62010234650097], [-73.89873289322725, 40.619889105533204], [-73.8986039535823, 40.61988108170029], [-73.89858120498873, 40.6200935359747], [-73.89870970539933, 40.62010234650097]]]]}",B166D-TENNIS-2,False,Asphalt,False,63.0,False,False,False,46.0,False,227.34759049024527,
M104,True,False,False,False,False,73,False,True,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92824570135042, 40.782311439193215], [-73.9288634767204, 40.782044972843465], [-73.92833139656264, 40.78132176785924], [-73.9277167588486, 40.78158966244811], [-73.92824570135042, 40.782311439193215]]]]}",M107-ZN06-SOCCER-6,False,Synthetic,True,25.0,False,False,False,8.0,False,995.8362037546192,
B150,False,False,False,False,False,01,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9580952018327, 40.620286653174944], [-73.95805265780497, 40.62006706103413], [-73.95787685536263, 40.6200842939496], [-73.95792096909855, 40.620306303727], [-73.9580952018327, 40.620286653174944]]]]}",B150-BASKETBALL-02,False,Asphalt,False,70.0,False,False,False,48.0,False,260.7795593855958,
B017,False,False,False,False,False,04,False,False,B,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.9120732126181, 40.69636584749693], [-73.91199228967882, 40.69632014584734], [-73.9119045225183, 40.696408607228584], [-73.91198544668555, 40.69645431074126], [-73.9120732126181, 40.69636584749693]]]]}",B017-HANDBALL-1,False,Asphalt,False,83.0,False,False,False,37.0,False,136.65761181041273,
X010,False,False,False,False,False,01,False,False,X,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.89709441084963, 40.83608040933101], [-73.89715390612474, 40.836006029328374], [-73.89720290080196, 40.83592735628343], [-73.89724086598706, 40.83584524160583], [-73.89726738774189, 40.83576057462623], [-73.89728218132508, 40.83567427270262], [-73.89728508646267, 40.835587271310494], [-73.8972760709234, 40.83550051053833], [-73.8972552317059, 40.83541493238691], [-73.89722279625128, 40.83533146186053], [-73.8971791141469, 40.83525100335767], [-73.89712465951317, 40.835174428967235], [-73.89706002272116, 40.835102566755644], [-73.89698590209835, 40.83503619625744], [-73.89690310276174, 40.83497603586853], [-73.89681251884306, 40.83492273652739], [-73.89671513231282, 40.83487687541195], [-73.89612662449873, 40.83559063990284], [-73.8961430125962, 40.835642832916605], [-73.89709441084963, 40.83608040933101]]]]}",X010-ZN07-BASEBALL-1,True,Natural,False,42.0,True,False,False,15.0,False,1141.4905875605457,
M037,False,False,False,False,False,05,False,False,M,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.92688108182655, 40.85330198319488], [-73.92702750980426, 40.8530981974318], [-73.9268667724696, 40.85302995455448], [-73.9267179225772, 40.85323255173003], [-73.92688108182655, 40.85330198319488]]]]}",M037-04-BASKETBALL-3,False,Asphalt,False,34.0,False,False,False,10.0,False,271.79004178281326,
X262,False,False,False,False,False,01,False,False,X,False,False,"{'type': 'MultiPolygon', 'coordinates': [[[[-73.85687131886525, 40.81035727583203], [-73.85682854563525, 40.810169434485694], [-73.8566583190646, 40.810191265377554], [-73.85669677015782, 40.81037989025175], [-73.85687131886525, 40.81035727583203]]]]}",X262-BASKETBALL-1,False,Asphalt,False,43.0,False,False,False,18.0,False,235.80161004795792,
