o_orderkey,o_custkey,o_orderpriority,o_comment
1,370,5-LOW,nstructions sleep furiously among 
2,781,1-URGENT," foxes. pending accounts at the pending, silent asymptot"
3,1234,5-LOW,sly final accounts boost. carefully regular ideas cajole carefully. depos
4,1369,5-LOW,"sits. slyly regular warthogs cajole. regular, regular theodolites acro"
5,445,5-LOW,quickly. bold deposits sleep slyly. packages use slyly
6,557,4-NOT SPECIFIED,"ggle. special, final requests are against the furiously specia"
7,392,2-HIGH,ly special requests 
32,1301,2-HIGH,"ise blithely bold, regular requests. quickly unusual dep"
33,670,3-MEDIUM,uriously. furiously final request
34,611,3-MEDIUM,ly final packages. fluffily final deposits wake blithely ideas. spe
35,1276,4-NOT SPECIFIED,zzle. carefully enticing deposits nag furio
36,1153,1-URGENT, quick packages are blithely. slyly silent accounts wake qu
37,862,3-MEDIUM,kly regular pinto beans. carefully unusual waters cajole never
38,1249,4-NOT SPECIFIED,haggle blithely. furiously express ideas haggle blithely furiously regular re
39,818,3-MEDIUM,"ole express, ironic requests: ir"
64,322,3-MEDIUM,wake fluffily. sometimes ironic pinto beans about the dolphin
65,163,1-URGENT,ular requests are blithely pending orbits-- even requests against the deposit
66,1292,5-LOW,y pending requests integrate
67,568,4-NOT SPECIFIED,symptotes haggle slyly around the furiously iron
68,286,3-MEDIUM, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
69,845,4-NOT SPECIFIED, depths atop the slyly thin deposits detect among the furiously silent accou
70,644,5-LOW, carefully ironic request
71,34,4-NOT SPECIFIED, express deposits along the blithely regul
96,1078,2-HIGH,oost furiously. pinto
97,211,3-MEDIUM,hang blithely along the regular accounts. furiously even ideas after the
98,1045,1-URGENT,c asymptotes. quickly regular packages should have to nag re
99,890,4-NOT SPECIFIED,e carefully ironic packages. pending
100,1471,4-NOT SPECIFIED,heodolites detect slyly alongside of the ent
101,280,3-MEDIUM,ding accounts above the slyly final asymptote
102,8,2-HIGH, slyly according to the asymptotes. carefully final packages integrate furious
103,292,4-NOT SPECIFIED,ges. carefully unusual instructions haggle quickly regular f
128,740,1-URGENT,ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
129,712,5-LOW,ing tithes. carefully pending deposits boost about the silently express 
130,370,2-HIGH,"le slyly unusual, regular packages? express deposits det"
131,928,3-MEDIUM,after the fluffily special foxes integrate s
132,265,3-MEDIUM,sits are daringly accounts. carefully regular foxes sleep slyly about the
133,440,1-URGENT,usly final asymptotes 
134,62,4-NOT SPECIFIED,lar theodolites boos
135,605,4-NOT SPECIFIED,l platelets use according t
160,826,4-NOT SPECIFIED,thely special sauternes wake slyly of t
161,167,2-HIGH,carefully! special instructions sin
162,142,3-MEDIUM,"nts hinder fluffily ironic instructions. express, express excuses "
163,878,3-MEDIUM,y final packages. final foxes since the quickly even
164,8,5-LOW,cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
165,274,4-NOT SPECIFIED,across the blithely regular accounts. bold
166,1079,2-HIGH,"lets. ironic, bold asymptotes kindle"
167,1195,4-NOT SPECIFIED,s nag furiously bold excuses. fluffily iron
192,826,5-LOW,y unusual platelets among the final instructions integrate rut
193,791,1-URGENT,the furiously final pin
194,619,3-MEDIUM,"egular requests haggle slyly regular, regular pinto beans. asymptote"
195,1355,3-MEDIUM,old forges are furiously sheaves. slyly fi
196,649,2-HIGH,beans boost at the foxes. silent foxes
197,326,2-HIGH,solve quickly about the even braids. carefully express deposits affix care
198,1103,4-NOT SPECIFIED,its. carefully ironic requests sleep. furiously express fox
199,530,2-HIGH,g theodolites. special packag
224,25,4-NOT SPECIFIED,r the quickly thin courts. carefully
225,331,1-URGENT,s. blithely ironic accounts wake quickly fluffily special acc
226,1276,2-HIGH,s are carefully at the blithely ironic acc
227,100,5-LOW, express instructions. slyly regul
228,442,1-URGENT,es was slyly among the regular foxes. blithely regular dependenci
229,1118,1-URGENT,he fluffily even instructions. furiously i
230,1027,1-URGENT,odolites. carefully quick requ
231,910,2-HIGH, packages haggle slyly after the carefully ironic instruct
256,1249,4-NOT SPECIFIED,he fluffily final ideas might are final accounts. carefully f
257,1228,3-MEDIUM,ts against the sly warhorses cajole slyly accounts
258,419,1-URGENT,dencies. blithely quick packages cajole. ruthlessly final accounts
259,433,4-NOT SPECIFIED,ages doubt blithely against the final foxes. carefully express deposits dazzle
260,1048,3-MEDIUM,lently regular pinto beans sleep after the slyly e
261,461,3-MEDIUM,ully fluffily brave instructions. furiousl
