src_block,_2010source_eui_kbtu_ft,_2014_source_eui_kbtu_ft,building,LOT,BRGH_CD,ghg_emissions_intensity,bin,agency
1044.0,Not Available,86.5,Midtown Community Court,1900-01-21,1.0,2.5,1025397.0,DCAS
16.0,182.2,181.7,Battery Park City Branch,1920-07-29,1.0,4.8,1087518.0,NYPL
880.0,107.4,111.7,K088,1899-12-31,3.0,5.8,3331276.0,DOE
1983.0,124.2,141.1,Manhattanville Health Center,1900-01-02,1.0,5.7,1059720.0,DOHMH
4336.0,121.3,381,New York Botanical Garden Campus: Operations Multi-Purpose Building,1899-12-31,2.0,12.8,2115623.0,CIG
8188.0,110.9,103.5,K242,1899-12-31,3.0,4.6,3229773.0,DOE
24.0,56,131.5,44th Dr Garage - South Building,1900-01-06,4.0,5.2,4000025.0,DOT
4327.0,130.9,99.8,K857,1900-01-23,3.0,3.3,3097429.0,DOE
3024.0,113.6,108.1,"X885 within (X085, X885)",1900-01-20,2.0,4.7,2011054.0,DOE
1957.0,251.1,202.8,ASRC - Advanced Science Research Center,1899-12-31,1.0,5.5,1813294.0,CUNY-S
2605.0,344.9,399.5,Rikers Island RNDC Campus: Rikers Island RNDC Campus: RNDC Detention Facility,1900-02-08,2.0,15.7,2109479.0,DOC
1830.0,158.2,169.1,M088,1900-01-18,1.0,7,1055204.0,DOE
3652.0,93.1,94.3,"X093 within (X093, X893)",1899-12-31,2.0,4.2,2097341.0,DOE
5107.0,213.1,234.6,Queens Botanical Garden Campus: Administration Building,1900-07-18,4.0,8.2,4439683.0,CIG
2672.0,129.1,103.3,X198,1899-12-31,2.0,4.4,2004869.0,DOE
1188.0,222.1,128.5,"K241 within (K241, K840)",1899-12-31,3.0,6,3378160.0,DOE
3356.0,Not Available,258.9,X361,1900-02-04,2.0,8.8,2115241.0,DOE
154.0,222.4,216.5,City Planning Building,1900-01-22,1.0,7,1078613.0,DCAS
3949.0,215.3,120.2,"K290 within (K290, K948)",1900-01-17,3.0,4.6,3087821.0,DOE
1743.0,90,92.6,K033,1900-01-17,3.0,4.5,3048517.0,DOE
1183.0,187.3,168.6,Central Library and Learning Center,1900-01-01,3.0,5.1,3029665.0,BPL
3272.0,121.3,381,New York Botanical Garden Campus: Enid A. Haupt Conservatory,1899-12-31,2.0,12.8,2113012.0,CIG
872.0,220.9,170.1,"FIA, MICSA Social Services Office (Leased)",1900-01-12,1.0,5.6,1017821.0,HRA
6726.0,58.2,108.3,"Q163 within (Q163, Q968)",1900-03-10,4.0,4.4,4146042.0,DOE
4986.0,131.2,147.9,"X068 within (X068, X918)",1900-03-21,2.0,7.4,2067852.0,DOE
3782.0,93.9,149.5,Q087,1900-01-26,4.0,5.2,4091737.0,DOE
2897.0,102.3,90.2,X147,1900-01-04,2.0,3.7,2009400.0,DOE
3126.0,199,208.4,"Engine Co. 45 and Ladder Co. 58, Batt. 18",1900-01-11,2.0,7.2,2013192.0,FDNY
6613.0,98,102,"R455 within (R455, R456)",1899-12-31,5.0,5,5082634.0,DOE
10144.0,175.9,126.8,Q048,1900-02-10,4.0,5.7,4216099.0,DOE
5918.0,128.3,131.6,X141,1901-01-10,2.0,5.1,2085870.0,DOE
3114.0,181.5,170.9,X864,1900-02-20,2.0,4.5,2013047.0,DOE
8034.0,128.6,109.5,"K923 within (K276, K923)",1899-12-31,3.0,5.1,3225637.0,DOE
2350.0,174.9,209.3,Administration Bldg - G,1900-01-23,2.0,7.5,2001088.0,CUNY-C
2118.0,176.4,180.9,M004,1900-01-21,1.0,6.5,1062792.0,DOE
11673.0,94.9,98.3,"Q155 within (Q155, Q976)",1899-12-31,4.0,5.3,4252357.0,DOE
16127.0,153.5,153.9,Engine Co. 266,1899-12-31,4.0,5.6,4439014.0,FDNY
356.0,88,88.1,M188,1900-04-09,1.0,3.4,1004349.0,DOE
11049.0,90.3,106,"Q490 within (Q490, Q491)",1899-12-31,4.0,4.5,4238003.0,DOE
16112.0,121.7,112.6,Q183,1899-12-31,4.0,5.5,4303354.0,DOE
