Thoroughfare,project_id,location_segment_id,ProjClass,StatFlag,oft_code,location_community_board
Emerson Drive,S2016-02-73,9059.0,Intersection,,523900527547000000,502.0
Mosel Avenue,S2017-01-20,10605.0,Intersection,,536130539693000000,501.0
106 Avenue,Q2017-10-02,31677.0,Intersection,,417140419890000000,410.0
164 Street,Q2020-08-10,82120.0,Intersection,,415390424240000000,408.0
St Marks Avenue,K2011-16-04,27057.0,Intersection,,350930380430000000,316.0
Bend,Q2016-11-08,60209.0,Intersection,,425990435780000000,411.0
White Street,B202301017,27494.0,Intersection,,387630392670000000,301.0
Dahlgren Place,B202310012,11827.0,Intersection,,310780331430000000,310.0
Bend,M2012-03-08,92205.0,Intersection,,110010113113000000,103.0
Belt Parkway,K2015-15-02,17146.0,Intersection,,318630377030000000,315.0
West 116 Street,M2014-09-03,23932.0,Intersection,,113610136090000000,109.0
Jewel Avenue,Q202408010,58490.0,Intersection,Ready for Milling,424790451590000000,408.0
Wythe Avenue,K2009-01-24,85526.0,Intersection,,323340395030000000,301.0
Luten Avenue,S2014-03-81,1896.0,Intersection,,534100537280000000,503.0
Rfk Bridge Entrance Ramp,M2003-08-3,104244.0,Intersection,,100907197570000000,111.0
Long Island Expressway,Q2013-08-51,54934.0,Intersection,,423040450290000000,408.0
Richmond Terrace,S2004-01-4,70386.0,Intersection,,518510545050000000,501.0
East 4 Street,K2008-15-14,17346.0,Intersection,,314280334980000000,312.0
West 236 Street,X2019-08-15,44911.0,Intersection,,239220275080000000,208.0
Nostrand Avenue,B202309006,18959.0,Intersection,,338430367030000000,308.0
Seagirt Boulevard,Q2017-14-42,82949.0,Intersection,,429565461690000000,414.0
Marathon Parkway,Q2015-11-25,62170.0,Intersection,,441750454800000000,411.0
Hylan Boulevard,S2014-02-05,10016.0,Intersection,,528400534100000000,502.0
Mcguinness Boulevard,K2018-01-24,22213.0,Intersection,,352830359640000000,301.0
Body Of Water,S2016-03-07,9028498.0,Intersection,,518510547823000000,502.0
Bend,X2003-02-10,94796.0,Intersection,,215920212550 00000,
Franklin D Roosevelt Drive,M2008-06-05,9037959.0,Intersection,,113113120490000000,103.0
Farragut Road,B202218034,28710.0,Intersection,,338130340230000000,318.0
213 Street,Q2015-11-34,86213.0,Intersection,,412040426490000000,411.0
Dead End,K2006-07-4,14605.0,Intersection,,307330332600000000,307.0
Cross Island Parkway,Q2004-07-31,56531.0,Intersection,,439190440990000000,407.0
Van Buren Street,K2013-04-05,27725.0,Intersection,,323930387230000000,304.0
Morgan Avenue,X2016-11-21,53888.0,Intersection,,248020252020000000,211.0
Sedgwick Avenue,X2005-05-5,67422.0,Intersection,,212550263820000000,205.0
Morgan Avenue,K2009-01-15,27526.0,Intersection,,359910362630000000,301.0
147 Street,Q2017-08-59,55045.0,Intersection,,416090423090000000,408.0
139 Street,Q2019-12-26,34281.0,Intersection,,420890422640000000,412.0
Tompkins Avenue,K2013-03-07,19888.0,Intersection,,345930385730000000,303.0
Park Lane South,Q2005-09-9,32504.0,Intersection,,418740458490000000,409.0
Pedestrian Overpass,Q2021-07-38,54947.0,Intersection,,450290458713000000,404.0
